datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
2020-02-01 05:00:00,2/1/2020 12:00:00 AM,RFC,WEST,AP,AP,5508.497,True
2020-02-01 06:00:00,2/1/2020 1:00:00 AM,RFC,WEST,AP,AP,5408.223,True
2020-02-01 07:00:00,2/1/2020 2:00:00 AM,RFC,WEST,AP,AP,5383.367,True
2020-02-01 08:00:00,2/1/2020 3:00:00 AM,RFC,WEST,AP,AP,5404.057,True
2020-02-01 09:00:00,2/1/2020 4:00:00 AM,RFC,WEST,AP,AP,5462.478,True
2020-02-01 10:00:00,2/1/2020 5:00:00 AM,RFC,WEST,AP,AP,5554.751,True
2020-02-01 11:00:00,2/1/2020 6:00:00 AM,RFC,WEST,AP,AP,5768.411,True
2020-02-01 12:00:00,2/1/2020 7:00:00 AM,RFC,WEST,AP,AP,5976.221,True
2020-02-01 13:00:00,2/1/2020 8:00:00 AM,RFC,WEST,AP,AP,6136.466,True
2020-02-01 14:00:00,2/1/2020 9:00:00 AM,RFC,WEST,AP,AP,6209.551,True
2020-02-01 15:00:00,2/1/2020 10:00:00 AM,RFC,WEST,AP,AP,6167.049,True
2020-02-01 16:00:00,2/1/2020 11:00:00 AM,RFC,WEST,AP,AP,6079.511,True
2020-02-01 17:00:00,2/1/2020 12:00:00 PM,RFC,WEST,AP,AP,5918.451,True
2020-02-01 18:00:00,2/1/2020 1:00:00 PM,RFC,WEST,AP,AP,5775.677,True
2020-02-01 19:00:00,2/1/2020 2:00:00 PM,RFC,WEST,AP,AP,5744.266,True
2020-02-01 20:00:00,2/1/2020 3:00:00 PM,RFC,WEST,AP,AP,5749.185,True
2020-02-01 21:00:00,2/1/2020 4:00:00 PM,RFC,WEST,AP,AP,5817.97,True
2020-02-01 22:00:00,2/1/2020 5:00:00 PM,RFC,WEST,AP,AP,6033.828,True
2020-02-01 23:00:00,2/1/2020 6:00:00 PM,RFC,WEST,AP,AP,6074.73,True
2020-02-02 00:00:00,2/1/2020 7:00:00 PM,RFC,WEST,AP,AP,6031.62,True
2020-02-02 01:00:00,2/1/2020 8:00:00 PM,RFC,WEST,AP,AP,5948.556,True
2020-02-02 02:00:00,2/1/2020 9:00:00 PM,RFC,WEST,AP,AP,5797.239,True
2020-02-02 03:00:00,2/1/2020 10:00:00 PM,RFC,WEST,AP,AP,5589.321,True
2020-02-02 04:00:00,2/1/2020 11:00:00 PM,RFC,WEST,AP,AP,5379.537,True
2020-02-02 05:00:00,2/2/2020 12:00:00 AM,RFC,WEST,AP,AP,5220.478,True
2020-02-02 06:00:00,2/2/2020 1:00:00 AM,RFC,WEST,AP,AP,5129.321,True
2020-02-02 07:00:00,2/2/2020 2:00:00 AM,RFC,WEST,AP,AP,5106.674,True
2020-02-02 08:00:00,2/2/2020 3:00:00 AM,RFC,WEST,AP,AP,5110.325,True
2020-02-02 09:00:00,2/2/2020 4:00:00 AM,RFC,WEST,AP,AP,5166.574,True
2020-02-02 10:00:00,2/2/2020 5:00:00 AM,RFC,WEST,AP,AP,5252.023,True
2020-02-02 11:00:00,2/2/2020 6:00:00 AM,RFC,WEST,AP,AP,5410.558,True
2020-02-02 12:00:00,2/2/2020 7:00:00 AM,RFC,WEST,AP,AP,5613.875,True
2020-02-02 13:00:00,2/2/2020 8:00:00 AM,RFC,WEST,AP,AP,5788.26,True
2020-02-02 14:00:00,2/2/2020 9:00:00 AM,RFC,WEST,AP,AP,5895.126,True
2020-02-02 15:00:00,2/2/2020 10:00:00 AM,RFC,WEST,AP,AP,5897.832,True
2020-02-02 16:00:00,2/2/2020 11:00:00 AM,RFC,WEST,AP,AP,5782.147,True
2020-02-02 17:00:00,2/2/2020 12:00:00 PM,RFC,WEST,AP,AP,5609.631,True
2020-02-02 18:00:00,2/2/2020 1:00:00 PM,RFC,WEST,AP,AP,5389.641,True
2020-02-02 19:00:00,2/2/2020 2:00:00 PM,RFC,WEST,AP,AP,5259.705,True
2020-02-02 20:00:00,2/2/2020 3:00:00 PM,RFC,WEST,AP,AP,5182.629,True
2020-02-02 21:00:00,2/2/2020 4:00:00 PM,RFC,WEST,AP,AP,5267.133,True
2020-02-02 22:00:00,2/2/2020 5:00:00 PM,RFC,WEST,AP,AP,5555.169,True
2020-02-02 23:00:00,2/2/2020 6:00:00 PM,RFC,WEST,AP,AP,5656.349,True
2020-02-03 00:00:00,2/2/2020 7:00:00 PM,RFC,WEST,AP,AP,5506.636,True
2020-02-03 01:00:00,2/2/2020 8:00:00 PM,RFC,WEST,AP,AP,5432.179,True
2020-02-03 02:00:00,2/2/2020 9:00:00 PM,RFC,WEST,AP,AP,5285.853,True
2020-02-03 03:00:00,2/2/2020 10:00:00 PM,RFC,WEST,AP,AP,5104.714,True
2020-02-03 04:00:00,2/2/2020 11:00:00 PM,RFC,WEST,AP,AP,4922.96,True
2020-02-03 05:00:00,2/3/2020 12:00:00 AM,RFC,WEST,AP,AP,4717.573,True
2020-02-03 06:00:00,2/3/2020 1:00:00 AM,RFC,WEST,AP,AP,4763.772,True
2020-02-03 07:00:00,2/3/2020 2:00:00 AM,RFC,WEST,AP,AP,4760.91,True
2020-02-03 08:00:00,2/3/2020 3:00:00 AM,RFC,WEST,AP,AP,4796.169,True
2020-02-03 09:00:00,2/3/2020 4:00:00 AM,RFC,WEST,AP,AP,4962.22,True
2020-02-03 10:00:00,2/3/2020 5:00:00 AM,RFC,WEST,AP,AP,5268.985,True
2020-02-03 11:00:00,2/3/2020 6:00:00 AM,RFC,WEST,AP,AP,5775.781,True
2020-02-03 12:00:00,2/3/2020 7:00:00 AM,RFC,WEST,AP,AP,5987.582,True
2020-02-03 13:00:00,2/3/2020 8:00:00 AM,RFC,WEST,AP,AP,5910.567,True
2020-02-03 14:00:00,2/3/2020 9:00:00 AM,RFC,WEST,AP,AP,5730.009,True
2020-02-03 15:00:00,2/3/2020 10:00:00 AM,RFC,WEST,AP,AP,5541.004,True
2020-02-03 16:00:00,2/3/2020 11:00:00 AM,RFC,WEST,AP,AP,5463.427,True
2020-02-03 17:00:00,2/3/2020 12:00:00 PM,RFC,WEST,AP,AP,5322.783,True
2020-02-03 18:00:00,2/3/2020 1:00:00 PM,RFC,WEST,AP,AP,5303.133,True
2020-02-03 19:00:00,2/3/2020 2:00:00 PM,RFC,WEST,AP,AP,5205.516,True
2020-02-03 20:00:00,2/3/2020 3:00:00 PM,RFC,WEST,AP,AP,5137.94,True
2020-02-03 21:00:00,2/3/2020 4:00:00 PM,RFC,WEST,AP,AP,5247.658,True
2020-02-03 22:00:00,2/3/2020 5:00:00 PM,RFC,WEST,AP,AP,5479.867,True
2020-02-03 23:00:00,2/3/2020 6:00:00 PM,RFC,WEST,AP,AP,5621.794,True
2020-02-04 00:00:00,2/3/2020 7:00:00 PM,RFC,WEST,AP,AP,5694.45,True
2020-02-04 01:00:00,2/3/2020 8:00:00 PM,RFC,WEST,AP,AP,5563.69,True
2020-02-04 02:00:00,2/3/2020 9:00:00 PM,RFC,WEST,AP,AP,5335.567,True
2020-02-04 03:00:00,2/3/2020 10:00:00 PM,RFC,WEST,AP,AP,5088.859,True
2020-02-04 04:00:00,2/3/2020 11:00:00 PM,RFC,WEST,AP,AP,4831.856,True
2020-02-04 05:00:00,2/4/2020 12:00:00 AM,RFC,WEST,AP,AP,4634.053,True
2020-02-04 06:00:00,2/4/2020 1:00:00 AM,RFC,WEST,AP,AP,4569.035,True
2020-02-04 07:00:00,2/4/2020 2:00:00 AM,RFC,WEST,AP,AP,4413.861,True
2020-02-04 08:00:00,2/4/2020 3:00:00 AM,RFC,WEST,AP,AP,4465.965,True
2020-02-04 09:00:00,2/4/2020 4:00:00 AM,RFC,WEST,AP,AP,4586.057,True
2020-02-04 10:00:00,2/4/2020 5:00:00 AM,RFC,WEST,AP,AP,4897.442,True
2020-02-04 11:00:00,2/4/2020 6:00:00 AM,RFC,WEST,AP,AP,5357.787,True
2020-02-04 12:00:00,2/4/2020 7:00:00 AM,RFC,WEST,AP,AP,5538.548,True
2020-02-04 13:00:00,2/4/2020 8:00:00 AM,RFC,WEST,AP,AP,5495.515,True
2020-02-04 14:00:00,2/4/2020 9:00:00 AM,RFC,WEST,AP,AP,5531.344,True
2020-02-04 15:00:00,2/4/2020 10:00:00 AM,RFC,WEST,AP,AP,5469.306,True
2020-02-04 16:00:00,2/4/2020 11:00:00 AM,RFC,WEST,AP,AP,5500.979,True
2020-02-04 17:00:00,2/4/2020 12:00:00 PM,RFC,WEST,AP,AP,5420.261,True
2020-02-04 18:00:00,2/4/2020 1:00:00 PM,RFC,WEST,AP,AP,5416.135,True
2020-02-04 19:00:00,2/4/2020 2:00:00 PM,RFC,WEST,AP,AP,5316.739,True
2020-02-04 20:00:00,2/4/2020 3:00:00 PM,RFC,WEST,AP,AP,5379.205,True
2020-02-04 21:00:00,2/4/2020 4:00:00 PM,RFC,WEST,AP,AP,5403.561,True
2020-02-04 22:00:00,2/4/2020 5:00:00 PM,RFC,WEST,AP,AP,5632.366,True
2020-02-04 23:00:00,2/4/2020 6:00:00 PM,RFC,WEST,AP,AP,5772.872,True
2020-02-05 00:00:00,2/4/2020 7:00:00 PM,RFC,WEST,AP,AP,5810.761,True
2020-02-05 01:00:00,2/4/2020 8:00:00 PM,RFC,WEST,AP,AP,5646.307,True
2020-02-05 02:00:00,2/4/2020 9:00:00 PM,RFC,WEST,AP,AP,5403.675,True
2020-02-05 03:00:00,2/4/2020 10:00:00 PM,RFC,WEST,AP,AP,5201.618,True
2020-02-05 04:00:00,2/4/2020 11:00:00 PM,RFC,WEST,AP,AP,4955.158,True
2020-02-05 05:00:00,2/5/2020 12:00:00 AM,RFC,WEST,AP,AP,4773.565,True
2020-02-05 06:00:00,2/5/2020 1:00:00 AM,RFC,WEST,AP,AP,4690.023,True
2020-02-05 07:00:00,2/5/2020 2:00:00 AM,RFC,WEST,AP,AP,4709.81,True
2020-02-05 08:00:00,2/5/2020 3:00:00 AM,RFC,WEST,AP,AP,4814.05,True
2020-02-05 09:00:00,2/5/2020 4:00:00 AM,RFC,WEST,AP,AP,5005.912,True
2020-02-05 10:00:00,2/5/2020 5:00:00 AM,RFC,WEST,AP,AP,5325.227,True
2020-02-05 11:00:00,2/5/2020 6:00:00 AM,RFC,WEST,AP,AP,5777.203,True
2020-02-05 12:00:00,2/5/2020 7:00:00 AM,RFC,WEST,AP,AP,6154.253,True
2020-02-05 13:00:00,2/5/2020 8:00:00 AM,RFC,WEST,AP,AP,6183.968,True
2020-02-05 14:00:00,2/5/2020 9:00:00 AM,RFC,WEST,AP,AP,6155.409,True
2020-02-05 15:00:00,2/5/2020 10:00:00 AM,RFC,WEST,AP,AP,6207.954,True
2020-02-05 16:00:00,2/5/2020 11:00:00 AM,RFC,WEST,AP,AP,6135.978,True
2020-02-05 17:00:00,2/5/2020 12:00:00 PM,RFC,WEST,AP,AP,6071.206,True
2020-02-05 18:00:00,2/5/2020 1:00:00 PM,RFC,WEST,AP,AP,6072.466,True
2020-02-05 19:00:00,2/5/2020 2:00:00 PM,RFC,WEST,AP,AP,5983.837,True
2020-02-05 20:00:00,2/5/2020 3:00:00 PM,RFC,WEST,AP,AP,5993.421,True
2020-02-05 21:00:00,2/5/2020 4:00:00 PM,RFC,WEST,AP,AP,6058.587,True
2020-02-05 22:00:00,2/5/2020 5:00:00 PM,RFC,WEST,AP,AP,6335.005,True
2020-02-05 23:00:00,2/5/2020 6:00:00 PM,RFC,WEST,AP,AP,6502.089,True
2020-02-06 00:00:00,2/5/2020 7:00:00 PM,RFC,WEST,AP,AP,6492.618,True
2020-02-06 01:00:00,2/5/2020 8:00:00 PM,RFC,WEST,AP,AP,6414.575,True
2020-02-06 02:00:00,2/5/2020 9:00:00 PM,RFC,WEST,AP,AP,6186.976,True
2020-02-06 03:00:00,2/5/2020 10:00:00 PM,RFC,WEST,AP,AP,5924.5,True
2020-02-06 04:00:00,2/5/2020 11:00:00 PM,RFC,WEST,AP,AP,5600.5,True
2020-02-06 05:00:00,2/6/2020 12:00:00 AM,RFC,WEST,AP,AP,5452.447,True
2020-02-06 06:00:00,2/6/2020 1:00:00 AM,RFC,WEST,AP,AP,5350.569,True
2020-02-06 07:00:00,2/6/2020 2:00:00 AM,RFC,WEST,AP,AP,5286.15,True
2020-02-06 08:00:00,2/6/2020 3:00:00 AM,RFC,WEST,AP,AP,5259.906,True
2020-02-06 09:00:00,2/6/2020 4:00:00 AM,RFC,WEST,AP,AP,5377.876,True
2020-02-06 10:00:00,2/6/2020 5:00:00 AM,RFC,WEST,AP,AP,5636.42,True
2020-02-06 11:00:00,2/6/2020 6:00:00 AM,RFC,WEST,AP,AP,6040.965,True
2020-02-06 12:00:00,2/6/2020 7:00:00 AM,RFC,WEST,AP,AP,6232.767,True
2020-02-06 13:00:00,2/6/2020 8:00:00 AM,RFC,WEST,AP,AP,6209.857,True
2020-02-06 14:00:00,2/6/2020 9:00:00 AM,RFC,WEST,AP,AP,6205.521,True
2020-02-06 15:00:00,2/6/2020 10:00:00 AM,RFC,WEST,AP,AP,6219.69,True
2020-02-06 16:00:00,2/6/2020 11:00:00 AM,RFC,WEST,AP,AP,6204.538,True
2020-02-06 17:00:00,2/6/2020 12:00:00 PM,RFC,WEST,AP,AP,6154.458,True
2020-02-06 18:00:00,2/6/2020 1:00:00 PM,RFC,WEST,AP,AP,6167.008,True
2020-02-06 19:00:00,2/6/2020 2:00:00 PM,RFC,WEST,AP,AP,6100.249,True
2020-02-06 20:00:00,2/6/2020 3:00:00 PM,RFC,WEST,AP,AP,6064.263,True
2020-02-06 21:00:00,2/6/2020 4:00:00 PM,RFC,WEST,AP,AP,6098.251,True
2020-02-06 22:00:00,2/6/2020 5:00:00 PM,RFC,WEST,AP,AP,6250.824,True
2020-02-06 23:00:00,2/6/2020 6:00:00 PM,RFC,WEST,AP,AP,6379.532,True
2020-02-07 00:00:00,2/6/2020 7:00:00 PM,RFC,WEST,AP,AP,6314.443,True
2020-02-07 01:00:00,2/6/2020 8:00:00 PM,RFC,WEST,AP,AP,6147.449,True
2020-02-07 02:00:00,2/6/2020 9:00:00 PM,RFC,WEST,AP,AP,5918.583,True
2020-02-07 03:00:00,2/6/2020 10:00:00 PM,RFC,WEST,AP,AP,5636.231,True
2020-02-07 04:00:00,2/6/2020 11:00:00 PM,RFC,WEST,AP,AP,5377.389,True
2020-02-07 05:00:00,2/7/2020 12:00:00 AM,RFC,WEST,AP,AP,5192.313,True
2020-02-07 06:00:00,2/7/2020 1:00:00 AM,RFC,WEST,AP,AP,5091.578,True
2020-02-07 07:00:00,2/7/2020 2:00:00 AM,RFC,WEST,AP,AP,5083.649,True
2020-02-07 08:00:00,2/7/2020 3:00:00 AM,RFC,WEST,AP,AP,5136.154,True
2020-02-07 09:00:00,2/7/2020 4:00:00 AM,RFC,WEST,AP,AP,5293.112,True
2020-02-07 10:00:00,2/7/2020 5:00:00 AM,RFC,WEST,AP,AP,5634.231,True
2020-02-07 11:00:00,2/7/2020 6:00:00 AM,RFC,WEST,AP,AP,6019.848,True
2020-02-07 12:00:00,2/7/2020 7:00:00 AM,RFC,WEST,AP,AP,6286.044,True
2020-02-07 13:00:00,2/7/2020 8:00:00 AM,RFC,WEST,AP,AP,6347.904,True
2020-02-07 14:00:00,2/7/2020 9:00:00 AM,RFC,WEST,AP,AP,6474.421,True
2020-02-07 15:00:00,2/7/2020 10:00:00 AM,RFC,WEST,AP,AP,6510.815,True
2020-02-07 16:00:00,2/7/2020 11:00:00 AM,RFC,WEST,AP,AP,6516.027,True
2020-02-07 17:00:00,2/7/2020 12:00:00 PM,RFC,WEST,AP,AP,6544.377,True
2020-02-07 18:00:00,2/7/2020 1:00:00 PM,RFC,WEST,AP,AP,6471.294,True
2020-02-07 19:00:00,2/7/2020 2:00:00 PM,RFC,WEST,AP,AP,6443.121,True
2020-02-07 20:00:00,2/7/2020 3:00:00 PM,RFC,WEST,AP,AP,6464.138,True
2020-02-07 21:00:00,2/7/2020 4:00:00 PM,RFC,WEST,AP,AP,6586.955,True
2020-02-07 22:00:00,2/7/2020 5:00:00 PM,RFC,WEST,AP,AP,6815.868,True
2020-02-07 23:00:00,2/7/2020 6:00:00 PM,RFC,WEST,AP,AP,6992.357,True
2020-02-08 00:00:00,2/7/2020 7:00:00 PM,RFC,WEST,AP,AP,6932.048,True
2020-02-08 01:00:00,2/7/2020 8:00:00 PM,RFC,WEST,AP,AP,6807.216,True
2020-02-08 02:00:00,2/7/2020 9:00:00 PM,RFC,WEST,AP,AP,6602.634,True
2020-02-08 03:00:00,2/7/2020 10:00:00 PM,RFC,WEST,AP,AP,6357.517,True
2020-02-08 04:00:00,2/7/2020 11:00:00 PM,RFC,WEST,AP,AP,6075.133,True
2020-02-08 05:00:00,2/8/2020 12:00:00 AM,RFC,WEST,AP,AP,5887.522,True
2020-02-08 06:00:00,2/8/2020 1:00:00 AM,RFC,WEST,AP,AP,5806.673,True
2020-02-08 07:00:00,2/8/2020 2:00:00 AM,RFC,WEST,AP,AP,5753.11,True
2020-02-08 08:00:00,2/8/2020 3:00:00 AM,RFC,WEST,AP,AP,5791.279,True
2020-02-08 09:00:00,2/8/2020 4:00:00 AM,RFC,WEST,AP,AP,5861.711,True
2020-02-08 10:00:00,2/8/2020 5:00:00 AM,RFC,WEST,AP,AP,5975.435,True
2020-02-08 11:00:00,2/8/2020 6:00:00 AM,RFC,WEST,AP,AP,6127.704,True
2020-02-08 12:00:00,2/8/2020 7:00:00 AM,RFC,WEST,AP,AP,6290.256,True
2020-02-08 13:00:00,2/8/2020 8:00:00 AM,RFC,WEST,AP,AP,6384.668,True
2020-02-08 14:00:00,2/8/2020 9:00:00 AM,RFC,WEST,AP,AP,6318.735,True
2020-02-08 15:00:00,2/8/2020 10:00:00 AM,RFC,WEST,AP,AP,6238.064,True
2020-02-08 16:00:00,2/8/2020 11:00:00 AM,RFC,WEST,AP,AP,6170.84,True
2020-02-08 17:00:00,2/8/2020 12:00:00 PM,RFC,WEST,AP,AP,6035.6,True
2020-02-08 18:00:00,2/8/2020 1:00:00 PM,RFC,WEST,AP,AP,5933.34,True
2020-02-08 19:00:00,2/8/2020 2:00:00 PM,RFC,WEST,AP,AP,5909.606,True
2020-02-08 20:00:00,2/8/2020 3:00:00 PM,RFC,WEST,AP,AP,5862.515,True
2020-02-08 21:00:00,2/8/2020 4:00:00 PM,RFC,WEST,AP,AP,5952.264,True
2020-02-08 22:00:00,2/8/2020 5:00:00 PM,RFC,WEST,AP,AP,6167.797,True
2020-02-08 23:00:00,2/8/2020 6:00:00 PM,RFC,WEST,AP,AP,6374.723,True
2020-02-09 00:00:00,2/8/2020 7:00:00 PM,RFC,WEST,AP,AP,6327.187,True
2020-02-09 01:00:00,2/8/2020 8:00:00 PM,RFC,WEST,AP,AP,6213.669,True
2020-02-09 02:00:00,2/8/2020 9:00:00 PM,RFC,WEST,AP,AP,6049.74,True
2020-02-09 03:00:00,2/8/2020 10:00:00 PM,RFC,WEST,AP,AP,5820.053,True
2020-02-09 04:00:00,2/8/2020 11:00:00 PM,RFC,WEST,AP,AP,5581.856,True
2020-02-09 05:00:00,2/9/2020 12:00:00 AM,RFC,WEST,AP,AP,5451.18,True
