datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
2020-02-01 05:00:00,2/1/2020 12:00:00 AM,RFC,MIDATL,BC,BC,3362.534,True
2020-02-01 06:00:00,2/1/2020 1:00:00 AM,RFC,MIDATL,BC,BC,3341.363,True
2020-02-01 07:00:00,2/1/2020 2:00:00 AM,RFC,MIDATL,BC,BC,3357.9,True
2020-02-01 08:00:00,2/1/2020 3:00:00 AM,RFC,MIDATL,BC,BC,3403.89,True
2020-02-01 09:00:00,2/1/2020 4:00:00 AM,RFC,MIDATL,BC,BC,3512.727,True
2020-02-01 10:00:00,2/1/2020 5:00:00 AM,RFC,MIDATL,BC,BC,3672.868,True
2020-02-01 11:00:00,2/1/2020 6:00:00 AM,RFC,MIDATL,BC,BC,3860.043,True
2020-02-01 12:00:00,2/1/2020 7:00:00 AM,RFC,MIDATL,BC,BC,3978.373,True
2020-02-01 13:00:00,2/1/2020 8:00:00 AM,RFC,MIDATL,BC,BC,4051.896,True
2020-02-01 14:00:00,2/1/2020 9:00:00 AM,RFC,MIDATL,BC,BC,4027.65,True
2020-02-01 15:00:00,2/1/2020 10:00:00 AM,RFC,MIDATL,BC,BC,3888.344,True
2020-02-01 16:00:00,2/1/2020 11:00:00 AM,RFC,MIDATL,BC,BC,3728.017,True
2020-02-01 17:00:00,2/1/2020 12:00:00 PM,RFC,MIDATL,BC,BC,3538.367,True
2020-02-01 18:00:00,2/1/2020 1:00:00 PM,RFC,MIDATL,BC,BC,3337.592,True
2020-02-01 19:00:00,2/1/2020 2:00:00 PM,RFC,MIDATL,BC,BC,3239.814,True
2020-02-01 20:00:00,2/1/2020 3:00:00 PM,RFC,MIDATL,BC,BC,3315.337,True
2020-02-01 21:00:00,2/1/2020 4:00:00 PM,RFC,MIDATL,BC,BC,3476.751,True
2020-02-01 22:00:00,2/1/2020 5:00:00 PM,RFC,MIDATL,BC,BC,3690.778,True
2020-02-01 23:00:00,2/1/2020 6:00:00 PM,RFC,MIDATL,BC,BC,3756.004,True
2020-02-02 00:00:00,2/1/2020 7:00:00 PM,RFC,MIDATL,BC,BC,3732.96,True
2020-02-02 01:00:00,2/1/2020 8:00:00 PM,RFC,MIDATL,BC,BC,3662.435,True
2020-02-02 02:00:00,2/1/2020 9:00:00 PM,RFC,MIDATL,BC,BC,3556.925,True
2020-02-02 03:00:00,2/1/2020 10:00:00 PM,RFC,MIDATL,BC,BC,3393.857,True
2020-02-02 04:00:00,2/1/2020 11:00:00 PM,RFC,MIDATL,BC,BC,3245.113,True
2020-02-02 05:00:00,2/2/2020 12:00:00 AM,RFC,MIDATL,BC,BC,3105.549,True
2020-02-02 06:00:00,2/2/2020 1:00:00 AM,RFC,MIDATL,BC,BC,3043.951,True
2020-02-02 07:00:00,2/2/2020 2:00:00 AM,RFC,MIDATL,BC,BC,3042.854,True
2020-02-02 08:00:00,2/2/2020 3:00:00 AM,RFC,MIDATL,BC,BC,3089.851,True
2020-02-02 09:00:00,2/2/2020 4:00:00 AM,RFC,MIDATL,BC,BC,3174.226,True
2020-02-02 10:00:00,2/2/2020 5:00:00 AM,RFC,MIDATL,BC,BC,3322.503,True
2020-02-02 11:00:00,2/2/2020 6:00:00 AM,RFC,MIDATL,BC,BC,3485.194,True
2020-02-02 12:00:00,2/2/2020 7:00:00 AM,RFC,MIDATL,BC,BC,3559.965,True
2020-02-02 13:00:00,2/2/2020 8:00:00 AM,RFC,MIDATL,BC,BC,3588.388,True
2020-02-02 14:00:00,2/2/2020 9:00:00 AM,RFC,MIDATL,BC,BC,3538.533,True
2020-02-02 15:00:00,2/2/2020 10:00:00 AM,RFC,MIDATL,BC,BC,3677.932,True
2020-02-02 16:00:00,2/2/2020 11:00:00 AM,RFC,MIDATL,BC,BC,3764.338,True
2020-02-02 17:00:00,2/2/2020 12:00:00 PM,RFC,MIDATL,BC,BC,3710.756,True
2020-02-02 18:00:00,2/2/2020 1:00:00 PM,RFC,MIDATL,BC,BC,3536.297,True
2020-02-02 19:00:00,2/2/2020 2:00:00 PM,RFC,MIDATL,BC,BC,3358.863,True
2020-02-02 20:00:00,2/2/2020 3:00:00 PM,RFC,MIDATL,BC,BC,3363.534,True
2020-02-02 21:00:00,2/2/2020 4:00:00 PM,RFC,MIDATL,BC,BC,3473.287,True
2020-02-02 22:00:00,2/2/2020 5:00:00 PM,RFC,MIDATL,BC,BC,3732.438,True
2020-02-02 23:00:00,2/2/2020 6:00:00 PM,RFC,MIDATL,BC,BC,3865.985,True
2020-02-03 00:00:00,2/2/2020 7:00:00 PM,RFC,MIDATL,BC,BC,3746.71,True
2020-02-03 01:00:00,2/2/2020 8:00:00 PM,RFC,MIDATL,BC,BC,3668.994,True
2020-02-03 02:00:00,2/2/2020 9:00:00 PM,RFC,MIDATL,BC,BC,3594.711,True
2020-02-03 03:00:00,2/2/2020 10:00:00 PM,RFC,MIDATL,BC,BC,3463.669,True
2020-02-03 04:00:00,2/2/2020 11:00:00 PM,RFC,MIDATL,BC,BC,3292.086,True
2020-02-03 05:00:00,2/3/2020 12:00:00 AM,RFC,MIDATL,BC,BC,3142.318,True
2020-02-03 06:00:00,2/3/2020 1:00:00 AM,RFC,MIDATL,BC,BC,3063.216,True
2020-02-03 07:00:00,2/3/2020 2:00:00 AM,RFC,MIDATL,BC,BC,3048.542,True
2020-02-03 08:00:00,2/3/2020 3:00:00 AM,RFC,MIDATL,BC,BC,3111.991,True
2020-02-03 09:00:00,2/3/2020 4:00:00 AM,RFC,MIDATL,BC,BC,3257.651,True
2020-02-03 10:00:00,2/3/2020 5:00:00 AM,RFC,MIDATL,BC,BC,3539.845,True
2020-02-03 11:00:00,2/3/2020 6:00:00 AM,RFC,MIDATL,BC,BC,3944.83,True
2020-02-03 12:00:00,2/3/2020 7:00:00 AM,RFC,MIDATL,BC,BC,4038.012,True
2020-02-03 13:00:00,2/3/2020 8:00:00 AM,RFC,MIDATL,BC,BC,3824.042,True
2020-02-03 14:00:00,2/3/2020 9:00:00 AM,RFC,MIDATL,BC,BC,3508.669,True
2020-02-03 15:00:00,2/3/2020 10:00:00 AM,RFC,MIDATL,BC,BC,3340.41,True
2020-02-03 16:00:00,2/3/2020 11:00:00 AM,RFC,MIDATL,BC,BC,3200.283,True
2020-02-03 17:00:00,2/3/2020 12:00:00 PM,RFC,MIDATL,BC,BC,3108.3,True
2020-02-03 18:00:00,2/3/2020 1:00:00 PM,RFC,MIDATL,BC,BC,3082.915,True
