datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
2020-02-01 05:00:00,2/1/2020 12:00:00 AM,RFC,WEST,CE,CE,9891.889,True
2020-02-01 06:00:00,2/1/2020 1:00:00 AM,RFC,WEST,CE,CE,9522.91,True
2020-02-01 07:00:00,2/1/2020 2:00:00 AM,RFC,WEST,CE,CE,9382.942,True
2020-02-01 08:00:00,2/1/2020 3:00:00 AM,RFC,WEST,CE,CE,9197.962,True
2020-02-01 09:00:00,2/1/2020 4:00:00 AM,RFC,WEST,CE,CE,9144.943,True
2020-02-01 10:00:00,2/1/2020 5:00:00 AM,RFC,WEST,CE,CE,9182.929,True
2020-02-01 11:00:00,2/1/2020 6:00:00 AM,RFC,WEST,CE,CE,9457.946,True
2020-02-01 12:00:00,2/1/2020 7:00:00 AM,RFC,WEST,CE,CE,9845.92,True
2020-02-01 13:00:00,2/1/2020 8:00:00 AM,RFC,WEST,CE,CE,10170.901,True
2020-02-01 14:00:00,2/1/2020 9:00:00 AM,RFC,WEST,CE,CE,10392.838,True
2020-02-01 15:00:00,2/1/2020 10:00:00 AM,RFC,WEST,CE,CE,10564.834,True
2020-02-01 16:00:00,2/1/2020 11:00:00 AM,RFC,WEST,CE,CE,10593.935,True
2020-02-01 17:00:00,2/1/2020 12:00:00 PM,RFC,WEST,CE,CE,10588.964,True
2020-02-01 18:00:00,2/1/2020 1:00:00 PM,RFC,WEST,CE,CE,10576.035,True
2020-02-01 19:00:00,2/1/2020 2:00:00 PM,RFC,WEST,CE,CE,10519.046,True
2020-02-01 20:00:00,2/1/2020 3:00:00 PM,RFC,WEST,CE,CE,10459.023,True
2020-02-01 21:00:00,2/1/2020 4:00:00 PM,RFC,WEST,CE,CE,10371.971,True
2020-02-01 22:00:00,2/1/2020 5:00:00 PM,RFC,WEST,CE,CE,10557.05,True
2020-02-01 23:00:00,2/1/2020 6:00:00 PM,RFC,WEST,CE,CE,10951.024,True
2020-02-02 00:00:00,2/1/2020 7:00:00 PM,RFC,WEST,CE,CE,11022.987,True
2020-02-02 01:00:00,2/1/2020 8:00:00 PM,RFC,WEST,CE,CE,10903.822,True
2020-02-02 02:00:00,2/1/2020 9:00:00 PM,RFC,WEST,CE,CE,10694.803,True
2020-02-02 03:00:00,2/1/2020 10:00:00 PM,RFC,WEST,CE,CE,10453.883,True
2020-02-02 04:00:00,2/1/2020 11:00:00 PM,RFC,WEST,CE,CE,10048.905,True
2020-02-02 05:00:00,2/2/2020 12:00:00 AM,RFC,WEST,CE,CE,9641.906,True
2020-02-02 06:00:00,2/2/2020 1:00:00 AM,RFC,WEST,CE,CE,9343.957,True
2020-02-02 07:00:00,2/2/2020 2:00:00 AM,RFC,WEST,CE,CE,9139.94,True
2020-02-02 08:00:00,2/2/2020 3:00:00 AM,RFC,WEST,CE,CE,9008.877,True
2020-02-02 09:00:00,2/2/2020 4:00:00 AM,RFC,WEST,CE,CE,8930.894,True
2020-02-02 10:00:00,2/2/2020 5:00:00 AM,RFC,WEST,CE,CE,8945.927,True
2020-02-02 11:00:00,2/2/2020 6:00:00 AM,RFC,WEST,CE,CE,9050.888,True
2020-02-02 12:00:00,2/2/2020 7:00:00 AM,RFC,WEST,CE,CE,9267.921,True
2020-02-02 13:00:00,2/2/2020 8:00:00 AM,RFC,WEST,CE,CE,9298.943,True
2020-02-02 14:00:00,2/2/2020 9:00:00 AM,RFC,WEST,CE,CE,9398.962,True
2020-02-02 15:00:00,2/2/2020 10:00:00 AM,RFC,WEST,CE,CE,9430.062,True
2020-02-02 16:00:00,2/2/2020 11:00:00 AM,RFC,WEST,CE,CE,9361.187,True
2020-02-02 17:00:00,2/2/2020 12:00:00 PM,RFC,WEST,CE,CE,9355.185,True
2020-02-02 18:00:00,2/2/2020 1:00:00 PM,RFC,WEST,CE,CE,9341.135,True
2020-02-02 19:00:00,2/2/2020 2:00:00 PM,RFC,WEST,CE,CE,9240.203,True
2020-02-02 20:00:00,2/2/2020 3:00:00 PM,RFC,WEST,CE,CE,9175.24,True
2020-02-02 21:00:00,2/2/2020 4:00:00 PM,RFC,WEST,CE,CE,9246.236,True
2020-02-02 22:00:00,2/2/2020 5:00:00 PM,RFC,WEST,CE,CE,9503.214,True
2020-02-02 23:00:00,2/2/2020 6:00:00 PM,RFC,WEST,CE,CE,10058.151,True
2020-02-03 00:00:00,2/2/2020 7:00:00 PM,RFC,WEST,CE,CE,10118.133,True
2020-02-03 01:00:00,2/2/2020 8:00:00 PM,RFC,WEST,CE,CE,10009.15,True
2020-02-03 02:00:00,2/2/2020 9:00:00 PM,RFC,WEST,CE,CE,9896.063,True
2020-02-03 03:00:00,2/2/2020 10:00:00 PM,RFC,WEST,CE,CE,9699.041,True
2020-02-03 04:00:00,2/2/2020 11:00:00 PM,RFC,WEST,CE,CE,9380.013,True
2020-02-03 05:00:00,2/3/2020 12:00:00 AM,RFC,WEST,CE,CE,8999.997,True
