datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
2020-02-01 05:00:00,2/1/2020 12:00:00 AM,RFC,WEST,DAY,DAY,1774.787,False
2020-02-01 06:00:00,2/1/2020 1:00:00 AM,RFC,WEST,DAY,DAY,1721.773,False
2020-02-01 07:00:00,2/1/2020 2:00:00 AM,RFC,WEST,DAY,DAY,1700.745,False
2020-02-01 08:00:00,2/1/2020 3:00:00 AM,RFC,WEST,DAY,DAY,1685.716,False
2020-02-01 09:00:00,2/1/2020 4:00:00 AM,RFC,WEST,DAY,DAY,1699.762,False
2020-02-01 10:00:00,2/1/2020 5:00:00 AM,RFC,WEST,DAY,DAY,1748.786,False
2020-02-01 11:00:00,2/1/2020 6:00:00 AM,RFC,WEST,DAY,DAY,1813.785,False
2020-02-01 12:00:00,2/1/2020 7:00:00 AM,RFC,WEST,DAY,DAY,1904.778,False
2020-02-01 13:00:00,2/1/2020 8:00:00 AM,RFC,WEST,DAY,DAY,1970.803,False
2020-02-01 14:00:00,2/1/2020 9:00:00 AM,RFC,WEST,DAY,DAY,2012.817,False
2020-02-01 15:00:00,2/1/2020 10:00:00 AM,RFC,WEST,DAY,DAY,2019.818,False
2020-02-01 16:00:00,2/1/2020 11:00:00 AM,RFC,WEST,DAY,DAY,2008.832,False
2020-02-01 17:00:00,2/1/2020 12:00:00 PM,RFC,WEST,DAY,DAY,1985.836,False
2020-02-01 18:00:00,2/1/2020 1:00:00 PM,RFC,WEST,DAY,DAY,1961.84,False
2020-02-01 19:00:00,2/1/2020 2:00:00 PM,RFC,WEST,DAY,DAY,1918.793,False
2020-02-01 20:00:00,2/1/2020 3:00:00 PM,RFC,WEST,DAY,DAY,1908.805,False
2020-02-01 21:00:00,2/1/2020 4:00:00 PM,RFC,WEST,DAY,DAY,1926.854,False
2020-02-01 22:00:00,2/1/2020 5:00:00 PM,RFC,WEST,DAY,DAY,1959.842,False
2020-02-01 23:00:00,2/1/2020 6:00:00 PM,RFC,WEST,DAY,DAY,2004.834,False
2020-02-02 00:00:00,2/1/2020 7:00:00 PM,RFC,WEST,DAY,DAY,1984.795,False
2020-02-02 01:00:00,2/1/2020 8:00:00 PM,RFC,WEST,DAY,DAY,1961.801,False
2020-02-02 02:00:00,2/1/2020 9:00:00 PM,RFC,WEST,DAY,DAY,1909.792,False
2020-02-02 03:00:00,2/1/2020 10:00:00 PM,RFC,WEST,DAY,DAY,1841.756,False
2020-02-02 04:00:00,2/1/2020 11:00:00 PM,RFC,WEST,DAY,DAY,1764.772,False
2020-02-02 05:00:00,2/2/2020 12:00:00 AM,RFC,WEST,DAY,DAY,1698.755,False
2020-02-02 06:00:00,2/2/2020 1:00:00 AM,RFC,WEST,DAY,DAY,1655.759,False
2020-02-02 07:00:00,2/2/2020 2:00:00 AM,RFC,WEST,DAY,DAY,1632.748,False
2020-02-02 08:00:00,2/2/2020 3:00:00 AM,RFC,WEST,DAY,DAY,1625.746,False
2020-02-02 09:00:00,2/2/2020 4:00:00 AM,RFC,WEST,DAY,DAY,1628.752,False
2020-02-02 10:00:00,2/2/2020 5:00:00 AM,RFC,WEST,DAY,DAY,1664.753,False
2020-02-02 11:00:00,2/2/2020 6:00:00 AM,RFC,WEST,DAY,DAY,1719.756,False
2020-02-02 12:00:00,2/2/2020 7:00:00 AM,RFC,WEST,DAY,DAY,1805.748,False
2020-02-02 13:00:00,2/2/2020 8:00:00 AM,RFC,WEST,DAY,DAY,1852.788,False
2020-02-02 14:00:00,2/2/2020 9:00:00 AM,RFC,WEST,DAY,DAY,1851.795,False
2020-02-02 15:00:00,2/2/2020 10:00:00 AM,RFC,WEST,DAY,DAY,1809.825,False
2020-02-02 16:00:00,2/2/2020 11:00:00 AM,RFC,WEST,DAY,DAY,1776.848,False
2020-02-02 17:00:00,2/2/2020 12:00:00 PM,RFC,WEST,DAY,DAY,1745.861,False
2020-02-02 18:00:00,2/2/2020 1:00:00 PM,RFC,WEST,DAY,DAY,1696.896,False
2020-02-02 19:00:00,2/2/2020 2:00:00 PM,RFC,WEST,DAY,DAY,1652.909,False
2020-02-02 20:00:00,2/2/2020 3:00:00 PM,RFC,WEST,DAY,DAY,1630.929,False
2020-02-02 21:00:00,2/2/2020 4:00:00 PM,RFC,WEST,DAY,DAY,1649.939,False
