datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
2020-02-01 05:00:00,2/1/2020 12:00:00 AM,RFC,WEST,DEOK,DEOK,2722.433,True
2020-02-01 06:00:00,2/1/2020 1:00:00 AM,RFC,WEST,DEOK,DEOK,2644.119,True
2020-02-01 07:00:00,2/1/2020 2:00:00 AM,RFC,WEST,DEOK,DEOK,2604.841,True
2020-02-01 08:00:00,2/1/2020 3:00:00 AM,RFC,WEST,DEOK,DEOK,2581.693,True
2020-02-01 09:00:00,2/1/2020 4:00:00 AM,RFC,WEST,DEOK,DEOK,2589.934,True
2020-02-01 10:00:00,2/1/2020 5:00:00 AM,RFC,WEST,DEOK,DEOK,2650.081,True
2020-02-01 11:00:00,2/1/2020 6:00:00 AM,RFC,WEST,DEOK,DEOK,2761.903,True
2020-02-01 12:00:00,2/1/2020 7:00:00 AM,RFC,WEST,DEOK,DEOK,2865.556,True
2020-02-01 13:00:00,2/1/2020 8:00:00 AM,RFC,WEST,DEOK,DEOK,2973.093,True
2020-02-01 14:00:00,2/1/2020 9:00:00 AM,RFC,WEST,DEOK,DEOK,3060.931,True
2020-02-01 15:00:00,2/1/2020 10:00:00 AM,RFC,WEST,DEOK,DEOK,3105.914,True
2020-02-01 16:00:00,2/1/2020 11:00:00 AM,RFC,WEST,DEOK,DEOK,3067.57,True
2020-02-01 17:00:00,2/1/2020 12:00:00 PM,RFC,WEST,DEOK,DEOK,3040.485,True
2020-02-01 18:00:00,2/1/2020 1:00:00 PM,RFC,WEST,DEOK,DEOK,2998.94,True
2020-02-01 19:00:00,2/1/2020 2:00:00 PM,RFC,WEST,DEOK,DEOK,2937.779,True
2020-02-01 20:00:00,2/1/2020 3:00:00 PM,RFC,WEST,DEOK,DEOK,2961.149,True
2020-02-01 21:00:00,2/1/2020 4:00:00 PM,RFC,WEST,DEOK,DEOK,2970.144,True
2020-02-01 22:00:00,2/1/2020 5:00:00 PM,RFC,WEST,DEOK,DEOK,3003.111,True
2020-02-01 23:00:00,2/1/2020 6:00:00 PM,RFC,WEST,DEOK,DEOK,3083.836,True
2020-02-02 00:00:00,2/1/2020 7:00:00 PM,RFC,WEST,DEOK,DEOK,3080.783,True
2020-02-02 01:00:00,2/1/2020 8:00:00 PM,RFC,WEST,DEOK,DEOK,3039.281,True
2020-02-02 02:00:00,2/1/2020 9:00:00 PM,RFC,WEST,DEOK,DEOK,2958.149,True
2020-02-02 03:00:00,2/1/2020 10:00:00 PM,RFC,WEST,DEOK,DEOK,2846.481,True
2020-02-02 04:00:00,2/1/2020 11:00:00 PM,RFC,WEST,DEOK,DEOK,2728.698,True
2020-02-02 05:00:00,2/2/2020 12:00:00 AM,RFC,WEST,DEOK,DEOK,2650.145,True
2020-02-02 06:00:00,2/2/2020 1:00:00 AM,RFC,WEST,DEOK,DEOK,2584.917,True
2020-02-02 07:00:00,2/2/2020 2:00:00 AM,RFC,WEST,DEOK,DEOK,2539.513,True
2020-02-02 08:00:00,2/2/2020 3:00:00 AM,RFC,WEST,DEOK,DEOK,2540.15,True
2020-02-02 09:00:00,2/2/2020 4:00:00 AM,RFC,WEST,DEOK,DEOK,2539.22,True
2020-02-02 10:00:00,2/2/2020 5:00:00 AM,RFC,WEST,DEOK,DEOK,2587.83,True
2020-02-02 11:00:00,2/2/2020 6:00:00 AM,RFC,WEST,DEOK,DEOK,2697.338,True
2020-02-02 12:00:00,2/2/2020 7:00:00 AM,RFC,WEST,DEOK,DEOK,2809.031,True
2020-02-02 13:00:00,2/2/2020 8:00:00 AM,RFC,WEST,DEOK,DEOK,2867.126,True
2020-02-02 14:00:00,2/2/2020 9:00:00 AM,RFC,WEST,DEOK,DEOK,2889.442,True
2020-02-02 15:00:00,2/2/2020 10:00:00 AM,RFC,WEST,DEOK,DEOK,2825.944,True
2020-02-02 16:00:00,2/2/2020 11:00:00 AM,RFC,WEST,DEOK,DEOK,2766.267,True
2020-02-02 17:00:00,2/2/2020 12:00:00 PM,RFC,WEST,DEOK,DEOK,2698.733,True
2020-02-02 18:00:00,2/2/2020 1:00:00 PM,RFC,WEST,DEOK,DEOK,2652.89,True
2020-02-02 19:00:00,2/2/2020 2:00:00 PM,RFC,WEST,DEOK,DEOK,2592.601,True
2020-02-02 20:00:00,2/2/2020 3:00:00 PM,RFC,WEST,DEOK,DEOK,2575.804,True
2020-02-02 21:00:00,2/2/2020 4:00:00 PM,RFC,WEST,DEOK,DEOK,2589.669,True
2020-02-02 22:00:00,2/2/2020 5:00:00 PM,RFC,WEST,DEOK,DEOK,2654.943,True
2020-02-02 23:00:00,2/2/2020 6:00:00 PM,RFC,WEST,DEOK,DEOK,2750.584,True
2020-02-03 00:00:00,2/2/2020 7:00:00 PM,RFC,WEST,DEOK,DEOK,2686.546,True
2020-02-03 01:00:00,2/2/2020 8:00:00 PM,RFC,WEST,DEOK,DEOK,2659.607,True
2020-02-03 02:00:00,2/2/2020 9:00:00 PM,RFC,WEST,DEOK,DEOK,2595.079,True
2020-02-03 03:00:00,2/2/2020 10:00:00 PM,RFC,WEST,DEOK,DEOK,2509.508,True
