datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
2020-02-01 05:00:00,2/1/2020 12:00:00 AM,SERC,SOUTH,DOM,DOM,11403.016,True
2020-02-01 06:00:00,2/1/2020 1:00:00 AM,SERC,SOUTH,DOM,DOM,11295.881,True
2020-02-01 07:00:00,2/1/2020 2:00:00 AM,SERC,SOUTH,DOM,DOM,11258.159,True
2020-02-01 08:00:00,2/1/2020 3:00:00 AM,SERC,SOUTH,DOM,DOM,11334.575,True
2020-02-01 09:00:00,2/1/2020 4:00:00 AM,SERC,SOUTH,DOM,DOM,11537.161,True
2020-02-01 10:00:00,2/1/2020 5:00:00 AM,SERC,SOUTH,DOM,DOM,11947.687,True
2020-02-01 11:00:00,2/1/2020 6:00:00 AM,SERC,SOUTH,DOM,DOM,12484.968,True
2020-02-01 12:00:00,2/1/2020 7:00:00 AM,SERC,SOUTH,DOM,DOM,12970.932,True
2020-02-01 13:00:00,2/1/2020 8:00:00 AM,SERC,SOUTH,DOM,DOM,13215.809,True
2020-02-01 14:00:00,2/1/2020 9:00:00 AM,SERC,SOUTH,DOM,DOM,13062.716,True
2020-02-01 15:00:00,2/1/2020 10:00:00 AM,SERC,SOUTH,DOM,DOM,12615.779,True
2020-02-01 16:00:00,2/1/2020 11:00:00 AM,SERC,SOUTH,DOM,DOM,12112.668,True
2020-02-01 17:00:00,2/1/2020 12:00:00 PM,SERC,SOUTH,DOM,DOM,11628.269,True
2020-02-01 18:00:00,2/1/2020 1:00:00 PM,SERC,SOUTH,DOM,DOM,11206.572,True
2020-02-01 19:00:00,2/1/2020 2:00:00 PM,SERC,SOUTH,DOM,DOM,10985.33,True
2020-02-01 20:00:00,2/1/2020 3:00:00 PM,SERC,SOUTH,DOM,DOM,11037.237,True
2020-02-01 21:00:00,2/1/2020 4:00:00 PM,SERC,SOUTH,DOM,DOM,11364.451,True
2020-02-01 22:00:00,2/1/2020 5:00:00 PM,SERC,SOUTH,DOM,DOM,11948.143,True
2020-02-01 23:00:00,2/1/2020 6:00:00 PM,SERC,SOUTH,DOM,DOM,12233.248,True
2020-02-02 00:00:00,2/1/2020 7:00:00 PM,SERC,SOUTH,DOM,DOM,12150.715,True
2020-02-02 01:00:00,2/1/2020 8:00:00 PM,SERC,SOUTH,DOM,DOM,11997.927,True
2020-02-02 02:00:00,2/1/2020 9:00:00 PM,SERC,SOUTH,DOM,DOM,11739.501,True
2020-02-02 03:00:00,2/1/2020 10:00:00 PM,SERC,SOUTH,DOM,DOM,11346.344,True
2020-02-02 04:00:00,2/1/2020 11:00:00 PM,SERC,SOUTH,DOM,DOM,10939.54,True
2020-02-02 05:00:00,2/2/2020 12:00:00 AM,SERC,SOUTH,DOM,DOM,10770.762,True
2020-02-02 06:00:00,2/2/2020 1:00:00 AM,SERC,SOUTH,DOM,DOM,10677.624,True
2020-02-02 07:00:00,2/2/2020 2:00:00 AM,SERC,SOUTH,DOM,DOM,10698.846,True
2020-02-02 08:00:00,2/2/2020 3:00:00 AM,SERC,SOUTH,DOM,DOM,10788.356,True
2020-02-02 09:00:00,2/2/2020 4:00:00 AM,SERC,SOUTH,DOM,DOM,11063.34,True
2020-02-02 10:00:00,2/2/2020 5:00:00 AM,SERC,SOUTH,DOM,DOM,11379.308,True
2020-02-02 11:00:00,2/2/2020 6:00:00 AM,SERC,SOUTH,DOM,DOM,11924.4,True
2020-02-02 12:00:00,2/2/2020 7:00:00 AM,SERC,SOUTH,DOM,DOM,12455.15,True
2020-02-02 13:00:00,2/2/2020 8:00:00 AM,SERC,SOUTH,DOM,DOM,12278.523,True
2020-02-02 14:00:00,2/2/2020 9:00:00 AM,SERC,SOUTH,DOM,DOM,11771.684,True
2020-02-02 15:00:00,2/2/2020 10:00:00 AM,SERC,SOUTH,DOM,DOM,11461.753,True
2020-02-02 16:00:00,2/2/2020 11:00:00 AM,SERC,SOUTH,DOM,DOM,11211.707,True
2020-02-02 17:00:00,2/2/2020 12:00:00 PM,SERC,SOUTH,DOM,DOM,10770.242,True
2020-02-02 18:00:00,2/2/2020 1:00:00 PM,SERC,SOUTH,DOM,DOM,10519.387,True
2020-02-02 19:00:00,2/2/2020 2:00:00 PM,SERC,SOUTH,DOM,DOM,10148.989,True
2020-02-02 20:00:00,2/2/2020 3:00:00 PM,SERC,SOUTH,DOM,DOM,10120.626,True
2020-02-02 21:00:00,2/2/2020 4:00:00 PM,SERC,SOUTH,DOM,DOM,10516.135,True
2020-02-02 22:00:00,2/2/2020 5:00:00 PM,SERC,SOUTH,DOM,DOM,11361.845,True
2020-02-02 23:00:00,2/2/2020 6:00:00 PM,SERC,SOUTH,DOM,DOM,11755.181,True
2020-02-03 00:00:00,2/2/2020 7:00:00 PM,SERC,SOUTH,DOM,DOM,11466.068,True
2020-02-03 01:00:00,2/2/2020 8:00:00 PM,SERC,SOUTH,DOM,DOM,11172.514,True
2020-02-03 02:00:00,2/2/2020 9:00:00 PM,SERC,SOUTH,DOM,DOM,10965.953,True
2020-02-03 03:00:00,2/2/2020 10:00:00 PM,SERC,SOUTH,DOM,DOM,10575.543,True
2020-02-03 04:00:00,2/2/2020 11:00:00 PM,SERC,SOUTH,DOM,DOM,10034.409,True
2020-02-03 05:00:00,2/3/2020 12:00:00 AM,SERC,SOUTH,DOM,DOM,9609.923,True
2020-02-03 06:00:00,2/3/2020 1:00:00 AM,SERC,SOUTH,DOM,DOM,9321.487,True
2020-02-03 07:00:00,2/3/2020 2:00:00 AM,SERC,SOUTH,DOM,DOM,9327.054,True
2020-02-03 08:00:00,2/3/2020 3:00:00 AM,SERC,SOUTH,DOM,DOM,9451.941,True
2020-02-03 09:00:00,2/3/2020 4:00:00 AM,SERC,SOUTH,DOM,DOM,9845.45,True
2020-02-03 10:00:00,2/3/2020 5:00:00 AM,SERC,SOUTH,DOM,DOM,10652.647,True
2020-02-03 11:00:00,2/3/2020 6:00:00 AM,SERC,SOUTH,DOM,DOM,11788.971,True
2020-02-03 12:00:00,2/3/2020 7:00:00 AM,SERC,SOUTH,DOM,DOM,12259.934,True
2020-02-03 13:00:00,2/3/2020 8:00:00 AM,SERC,SOUTH,DOM,DOM,11895.216,True
2020-02-03 14:00:00,2/3/2020 9:00:00 AM,SERC,SOUTH,DOM,DOM,11377.315,True
2020-02-03 15:00:00,2/3/2020 10:00:00 AM,SERC,SOUTH,DOM,DOM,10817.563,True
2020-02-03 16:00:00,2/3/2020 11:00:00 AM,SERC,SOUTH,DOM,DOM,10347.687,True
2020-02-03 17:00:00,2/3/2020 12:00:00 PM,SERC,SOUTH,DOM,DOM,10177.385,True
2020-02-03 18:00:00,2/3/2020 1:00:00 PM,SERC,SOUTH,DOM,DOM,9990.768,True
2020-02-03 19:00:00,2/3/2020 2:00:00 PM,SERC,SOUTH,DOM,DOM,9981.564,True
2020-02-03 20:00:00,2/3/2020 3:00:00 PM,SERC,SOUTH,DOM,DOM,9975.664,True
2020-02-03 21:00:00,2/3/2020 4:00:00 PM,SERC,SOUTH,DOM,DOM,10190.228,True
2020-02-03 22:00:00,2/3/2020 5:00:00 PM,SERC,SOUTH,DOM,DOM,10807.092,True
2020-02-03 23:00:00,2/3/2020 6:00:00 PM,SERC,SOUTH,DOM,DOM,11330.374,True
2020-02-04 00:00:00,2/3/2020 7:00:00 PM,SERC,SOUTH,DOM,DOM,11264.636,True
2020-02-04 01:00:00,2/3/2020 8:00:00 PM,SERC,SOUTH,DOM,DOM,10989.771,True
2020-02-04 02:00:00,2/3/2020 9:00:00 PM,SERC,SOUTH,DOM,DOM,10522.375,True
2020-02-04 03:00:00,2/3/2020 10:00:00 PM,SERC,SOUTH,DOM,DOM,9838.059,True
2020-02-04 04:00:00,2/3/2020 11:00:00 PM,SERC,SOUTH,DOM,DOM,9236.972,True
2020-02-04 05:00:00,2/4/2020 12:00:00 AM,SERC,SOUTH,DOM,DOM,8839.69,True
2020-02-04 06:00:00,2/4/2020 1:00:00 AM,SERC,SOUTH,DOM,DOM,8591.077,True
2020-02-04 07:00:00,2/4/2020 2:00:00 AM,SERC,SOUTH,DOM,DOM,8515.326,True
2020-02-04 08:00:00,2/4/2020 3:00:00 AM,SERC,SOUTH,DOM,DOM,8547.184,True
2020-02-04 09:00:00,2/4/2020 4:00:00 AM,SERC,SOUTH,DOM,DOM,8814.353,True
2020-02-04 10:00:00,2/4/2020 5:00:00 AM,SERC,SOUTH,DOM,DOM,9411.943,True
2020-02-04 11:00:00,2/4/2020 6:00:00 AM,SERC,SOUTH,DOM,DOM,10480.351,True
2020-02-04 12:00:00,2/4/2020 7:00:00 AM,SERC,SOUTH,DOM,DOM,10949.805,True
2020-02-04 13:00:00,2/4/2020 8:00:00 AM,SERC,SOUTH,DOM,DOM,10814.944,True
2020-02-04 14:00:00,2/4/2020 9:00:00 AM,SERC,SOUTH,DOM,DOM,10627.797,True
2020-02-04 15:00:00,2/4/2020 10:00:00 AM,SERC,SOUTH,DOM,DOM,10472.929,True
2020-02-04 16:00:00,2/4/2020 11:00:00 AM,SERC,SOUTH,DOM,DOM,10278.557,True
2020-02-04 17:00:00,2/4/2020 12:00:00 PM,SERC,SOUTH,DOM,DOM,10172.075,True
2020-02-04 18:00:00,2/4/2020 1:00:00 PM,SERC,SOUTH,DOM,DOM,10098.858,True
2020-02-04 19:00:00,2/4/2020 2:00:00 PM,SERC,SOUTH,DOM,DOM,9991.589,True
2020-02-04 20:00:00,2/4/2020 3:00:00 PM,SERC,SOUTH,DOM,DOM,10030.085,True
2020-02-04 21:00:00,2/4/2020 4:00:00 PM,SERC,SOUTH,DOM,DOM,10236.601,True
2020-02-04 22:00:00,2/4/2020 5:00:00 PM,SERC,SOUTH,DOM,DOM,10790.095,True
2020-02-04 23:00:00,2/4/2020 6:00:00 PM,SERC,SOUTH,DOM,DOM,11143.689,True
2020-02-05 00:00:00,2/4/2020 7:00:00 PM,SERC,SOUTH,DOM,DOM,11051.03,True
2020-02-05 01:00:00,2/4/2020 8:00:00 PM,SERC,SOUTH,DOM,DOM,10768.061,True
2020-02-05 02:00:00,2/4/2020 9:00:00 PM,SERC,SOUTH,DOM,DOM,10153.76,True
2020-02-05 03:00:00,2/4/2020 10:00:00 PM,SERC,SOUTH,DOM,DOM,9545.688,True
2020-02-05 04:00:00,2/4/2020 11:00:00 PM,SERC,SOUTH,DOM,DOM,8956.519,True
2020-02-05 05:00:00,2/5/2020 12:00:00 AM,SERC,SOUTH,DOM,DOM,8474.454,True
2020-02-05 06:00:00,2/5/2020 1:00:00 AM,SERC,SOUTH,DOM,DOM,8217.509,True
2020-02-05 07:00:00,2/5/2020 2:00:00 AM,SERC,SOUTH,DOM,DOM,8110.229,True
2020-02-05 08:00:00,2/5/2020 3:00:00 AM,SERC,SOUTH,DOM,DOM,8099.904,True
2020-02-05 09:00:00,2/5/2020 4:00:00 AM,SERC,SOUTH,DOM,DOM,8304.518,True
2020-02-05 10:00:00,2/5/2020 5:00:00 AM,SERC,SOUTH,DOM,DOM,9027.927,True
2020-02-05 11:00:00,2/5/2020 6:00:00 AM,SERC,SOUTH,DOM,DOM,10112.944,True
2020-02-05 12:00:00,2/5/2020 7:00:00 AM,SERC,SOUTH,DOM,DOM,10675.71,True
2020-02-05 13:00:00,2/5/2020 8:00:00 AM,SERC,SOUTH,DOM,DOM,10695.908,True
2020-02-05 14:00:00,2/5/2020 9:00:00 AM,SERC,SOUTH,DOM,DOM,10616.79,True
2020-02-05 15:00:00,2/5/2020 10:00:00 AM,SERC,SOUTH,DOM,DOM,10673.415,True
2020-02-05 16:00:00,2/5/2020 11:00:00 AM,SERC,SOUTH,DOM,DOM,10774.968,True
2020-02-05 17:00:00,2/5/2020 12:00:00 PM,SERC,SOUTH,DOM,DOM,10802.657,True
2020-02-05 18:00:00,2/5/2020 1:00:00 PM,SERC,SOUTH,DOM,DOM,10991.423,True
2020-02-05 19:00:00,2/5/2020 2:00:00 PM,SERC,SOUTH,DOM,DOM,11134.921,True
2020-02-05 20:00:00,2/5/2020 3:00:00 PM,SERC,SOUTH,DOM,DOM,11380.725,True
2020-02-05 21:00:00,2/5/2020 4:00:00 PM,SERC,SOUTH,DOM,DOM,11814.305,True
2020-02-05 22:00:00,2/5/2020 5:00:00 PM,SERC,SOUTH,DOM,DOM,12480.762,True
2020-02-05 23:00:00,2/5/2020 6:00:00 PM,SERC,SOUTH,DOM,DOM,12703.169,True
