datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
2020-02-01 05:00:00,2/1/2020 12:00:00 AM,RFC,WEST,DUQ,DUQ,1356.122,True
2020-02-01 06:00:00,2/1/2020 1:00:00 AM,RFC,WEST,DUQ,DUQ,1307.226,True
2020-02-01 07:00:00,2/1/2020 2:00:00 AM,RFC,WEST,DUQ,DUQ,1273.281,True
2020-02-01 08:00:00,2/1/2020 3:00:00 AM,RFC,WEST,DUQ,DUQ,1282.65,True
2020-02-01 09:00:00,2/1/2020 4:00:00 AM,RFC,WEST,DUQ,DUQ,1301.004,True
2020-02-01 10:00:00,2/1/2020 5:00:00 AM,RFC,WEST,DUQ,DUQ,1334.054,True
2020-02-01 11:00:00,2/1/2020 6:00:00 AM,RFC,WEST,DUQ,DUQ,1376.159,True
2020-02-01 12:00:00,2/1/2020 7:00:00 AM,RFC,WEST,DUQ,DUQ,1422.594,True
2020-02-01 13:00:00,2/1/2020 8:00:00 AM,RFC,WEST,DUQ,DUQ,1453.16,True
2020-02-01 14:00:00,2/1/2020 9:00:00 AM,RFC,WEST,DUQ,DUQ,1491.642,True
2020-02-01 15:00:00,2/1/2020 10:00:00 AM,RFC,WEST,DUQ,DUQ,1528.333,True
2020-02-01 16:00:00,2/1/2020 11:00:00 AM,RFC,WEST,DUQ,DUQ,1531.739,True
2020-02-01 17:00:00,2/1/2020 12:00:00 PM,RFC,WEST,DUQ,DUQ,1512.075,True
2020-02-01 18:00:00,2/1/2020 1:00:00 PM,RFC,WEST,DUQ,DUQ,1489.869,True
2020-02-01 19:00:00,2/1/2020 2:00:00 PM,RFC,WEST,DUQ,DUQ,1494.564,True
2020-02-01 20:00:00,2/1/2020 3:00:00 PM,RFC,WEST,DUQ,DUQ,1492.557,True
2020-02-01 21:00:00,2/1/2020 4:00:00 PM,RFC,WEST,DUQ,DUQ,1511.871,True
