datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
2020-02-01 05:00:00,2/1/2020 12:00:00 AM,SERC,WEST,EKPC,EKPC,1458.883,True
2020-02-01 06:00:00,2/1/2020 1:00:00 AM,SERC,WEST,EKPC,EKPC,1423.375,True
2020-02-01 07:00:00,2/1/2020 2:00:00 AM,SERC,WEST,EKPC,EKPC,1410.816,True
2020-02-01 08:00:00,2/1/2020 3:00:00 AM,SERC,WEST,EKPC,EKPC,1406.784,True
2020-02-01 09:00:00,2/1/2020 4:00:00 AM,SERC,WEST,EKPC,EKPC,1427.801,True
2020-02-01 10:00:00,2/1/2020 5:00:00 AM,SERC,WEST,EKPC,EKPC,1434.6,True
2020-02-01 11:00:00,2/1/2020 6:00:00 AM,SERC,WEST,EKPC,EKPC,1493.68,True
2020-02-01 12:00:00,2/1/2020 7:00:00 AM,SERC,WEST,EKPC,EKPC,1586.973,True
2020-02-01 13:00:00,2/1/2020 8:00:00 AM,SERC,WEST,EKPC,EKPC,1657.671,True
2020-02-01 14:00:00,2/1/2020 9:00:00 AM,SERC,WEST,EKPC,EKPC,1692.356,True
2020-02-01 15:00:00,2/1/2020 10:00:00 AM,SERC,WEST,EKPC,EKPC,1692.511,True
2020-02-01 16:00:00,2/1/2020 11:00:00 AM,SERC,WEST,EKPC,EKPC,1668.603,True
2020-02-01 17:00:00,2/1/2020 12:00:00 PM,SERC,WEST,EKPC,EKPC,1654.061,True
2020-02-01 18:00:00,2/1/2020 1:00:00 PM,SERC,WEST,EKPC,EKPC,1621.134,True
2020-02-01 19:00:00,2/1/2020 2:00:00 PM,SERC,WEST,EKPC,EKPC,1621.851,True
2020-02-01 20:00:00,2/1/2020 3:00:00 PM,SERC,WEST,EKPC,EKPC,1626.07,True
2020-02-01 21:00:00,2/1/2020 4:00:00 PM,SERC,WEST,EKPC,EKPC,1657.299,True
2020-02-01 22:00:00,2/1/2020 5:00:00 PM,SERC,WEST,EKPC,EKPC,1684.705,True
2020-02-01 23:00:00,2/1/2020 6:00:00 PM,SERC,WEST,EKPC,EKPC,1741.724,True
2020-02-02 00:00:00,2/1/2020 7:00:00 PM,SERC,WEST,EKPC,EKPC,1751.464,True
2020-02-02 01:00:00,2/1/2020 8:00:00 PM,SERC,WEST,EKPC,EKPC,1742.232,True
2020-02-02 02:00:00,2/1/2020 9:00:00 PM,SERC,WEST,EKPC,EKPC,1727.279,True
2020-02-02 03:00:00,2/1/2020 10:00:00 PM,SERC,WEST,EKPC,EKPC,1681.074,True
2020-02-02 04:00:00,2/1/2020 11:00:00 PM,SERC,WEST,EKPC,EKPC,1648.393,True
