datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
2020-02-01 05:00:00,2/1/2020 12:00:00 AM,RFC,MIDATL,ME,ME,1657.575,True
2020-02-01 06:00:00,2/1/2020 1:00:00 AM,RFC,MIDATL,ME,ME,1613.293,True
2020-02-01 07:00:00,2/1/2020 2:00:00 AM,RFC,MIDATL,ME,ME,1606.203,True
2020-02-01 08:00:00,2/1/2020 3:00:00 AM,RFC,MIDATL,ME,ME,1604.309,True
2020-02-01 09:00:00,2/1/2020 4:00:00 AM,RFC,MIDATL,ME,ME,1618.994,True
2020-02-01 10:00:00,2/1/2020 5:00:00 AM,RFC,MIDATL,ME,ME,1661.209,True
2020-02-01 11:00:00,2/1/2020 6:00:00 AM,RFC,MIDATL,ME,ME,1723.553,True
2020-02-01 12:00:00,2/1/2020 7:00:00 AM,RFC,MIDATL,ME,ME,1803.415,True
2020-02-01 13:00:00,2/1/2020 8:00:00 AM,RFC,MIDATL,ME,ME,1863.533,True
2020-02-01 14:00:00,2/1/2020 9:00:00 AM,RFC,MIDATL,ME,ME,1891.812,True
2020-02-01 15:00:00,2/1/2020 10:00:00 AM,RFC,MIDATL,ME,ME,1887.279,True
2020-02-01 16:00:00,2/1/2020 11:00:00 AM,RFC,MIDATL,ME,ME,1861.489,True
2020-02-01 17:00:00,2/1/2020 12:00:00 PM,RFC,MIDATL,ME,ME,1829.581,True
2020-02-01 18:00:00,2/1/2020 1:00:00 PM,RFC,MIDATL,ME,ME,1790.622,True
2020-02-01 19:00:00,2/1/2020 2:00:00 PM,RFC,MIDATL,ME,ME,1752.092,True
2020-02-01 20:00:00,2/1/2020 3:00:00 PM,RFC,MIDATL,ME,ME,1764.115,True
2020-02-01 21:00:00,2/1/2020 4:00:00 PM,RFC,MIDATL,ME,ME,1795.521,True
2020-02-01 22:00:00,2/1/2020 5:00:00 PM,RFC,MIDATL,ME,ME,1842.9,True
2020-02-01 23:00:00,2/1/2020 6:00:00 PM,RFC,MIDATL,ME,ME,1843.132,True
2020-02-02 00:00:00,2/1/2020 7:00:00 PM,RFC,MIDATL,ME,ME,1816.253,True
2020-02-02 01:00:00,2/1/2020 8:00:00 PM,RFC,MIDATL,ME,ME,1774.854,True
2020-02-02 02:00:00,2/1/2020 9:00:00 PM,RFC,MIDATL,ME,ME,1720.662,True
2020-02-02 03:00:00,2/1/2020 10:00:00 PM,RFC,MIDATL,ME,ME,1640.918,True
2020-02-02 04:00:00,2/1/2020 11:00:00 PM,RFC,MIDATL,ME,ME,1564.26,True
2020-02-02 05:00:00,2/2/2020 12:00:00 AM,RFC,MIDATL,ME,ME,1498.143,True
2020-02-02 06:00:00,2/2/2020 1:00:00 AM,RFC,MIDATL,ME,ME,1467.739,True
2020-02-02 07:00:00,2/2/2020 2:00:00 AM,RFC,MIDATL,ME,ME,1449.663,True
2020-02-02 08:00:00,2/2/2020 3:00:00 AM,RFC,MIDATL,ME,ME,1451.136,True
2020-02-02 09:00:00,2/2/2020 4:00:00 AM,RFC,MIDATL,ME,ME,1459.017,True
2020-02-02 10:00:00,2/2/2020 5:00:00 AM,RFC,MIDATL,ME,ME,1508.924,True
2020-02-02 11:00:00,2/2/2020 6:00:00 AM,RFC,MIDATL,ME,ME,1573.528,True
2020-02-02 12:00:00,2/2/2020 7:00:00 AM,RFC,MIDATL,ME,ME,1647.654,True
