datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
2020-02-01 05:00:00,2/1/2020 12:00:00 AM,RFC,MIDATL,PE,PE,3897.378,True
2020-02-01 06:00:00,2/1/2020 1:00:00 AM,RFC,MIDATL,PE,PE,3810.605,True
2020-02-01 07:00:00,2/1/2020 2:00:00 AM,RFC,MIDATL,PE,PE,3741.443,True
2020-02-01 08:00:00,2/1/2020 3:00:00 AM,RFC,MIDATL,PE,PE,3719.453,True
2020-02-01 09:00:00,2/1/2020 4:00:00 AM,RFC,MIDATL,PE,PE,3754.253,True
2020-02-01 10:00:00,2/1/2020 5:00:00 AM,RFC,MIDATL,PE,PE,3870.769,True
2020-02-01 11:00:00,2/1/2020 6:00:00 AM,RFC,MIDATL,PE,PE,4054.202,True
2020-02-01 12:00:00,2/1/2020 7:00:00 AM,RFC,MIDATL,PE,PE,4242.264,True
2020-02-01 13:00:00,2/1/2020 8:00:00 AM,RFC,MIDATL,PE,PE,4430.648,True
2020-02-01 14:00:00,2/1/2020 9:00:00 AM,RFC,MIDATL,PE,PE,4577.335,True
2020-02-01 15:00:00,2/1/2020 10:00:00 AM,RFC,MIDATL,PE,PE,4634.497,True
2020-02-01 16:00:00,2/1/2020 11:00:00 AM,RFC,MIDATL,PE,PE,4614.735,True
2020-02-01 17:00:00,2/1/2020 12:00:00 PM,RFC,MIDATL,PE,PE,4537.296,True
2020-02-01 18:00:00,2/1/2020 1:00:00 PM,RFC,MIDATL,PE,PE,4430.1,True
2020-02-01 19:00:00,2/1/2020 2:00:00 PM,RFC,MIDATL,PE,PE,4354.007,True
2020-02-01 20:00:00,2/1/2020 3:00:00 PM,RFC,MIDATL,PE,PE,4350.318,True
2020-02-01 21:00:00,2/1/2020 4:00:00 PM,RFC,MIDATL,PE,PE,4439.794,True
2020-02-01 22:00:00,2/1/2020 5:00:00 PM,RFC,MIDATL,PE,PE,4620.657,True
2020-02-01 23:00:00,2/1/2020 6:00:00 PM,RFC,MIDATL,PE,PE,4622.175,True
2020-02-02 00:00:00,2/1/2020 7:00:00 PM,RFC,MIDATL,PE,PE,4568.713,True
2020-02-02 01:00:00,2/1/2020 8:00:00 PM,RFC,MIDATL,PE,PE,4503.648,True
2020-02-02 02:00:00,2/1/2020 9:00:00 PM,RFC,MIDATL,PE,PE,4352.236,True
2020-02-02 03:00:00,2/1/2020 10:00:00 PM,RFC,MIDATL,PE,PE,4192.294,True
2020-02-02 04:00:00,2/1/2020 11:00:00 PM,RFC,MIDATL,PE,PE,3973.56,True
2020-02-02 05:00:00,2/2/2020 12:00:00 AM,RFC,MIDATL,PE,PE,3812.58,True
2020-02-02 06:00:00,2/2/2020 1:00:00 AM,RFC,MIDATL,PE,PE,3671.994,True
2020-02-02 07:00:00,2/2/2020 2:00:00 AM,RFC,MIDATL,PE,PE,3621.581,True
2020-02-02 08:00:00,2/2/2020 3:00:00 AM,RFC,MIDATL,PE,PE,3618.84,True
2020-02-02 09:00:00,2/2/2020 4:00:00 AM,RFC,MIDATL,PE,PE,3677.686,True
2020-02-02 10:00:00,2/2/2020 5:00:00 AM,RFC,MIDATL,PE,PE,3792.792,True
2020-02-02 11:00:00,2/2/2020 6:00:00 AM,RFC,MIDATL,PE,PE,3921.044,True
2020-02-02 12:00:00,2/2/2020 7:00:00 AM,RFC,MIDATL,PE,PE,4083.449,True
2020-02-02 13:00:00,2/2/2020 8:00:00 AM,RFC,MIDATL,PE,PE,4217.594,True
2020-02-02 14:00:00,2/2/2020 9:00:00 AM,RFC,MIDATL,PE,PE,4293.145,True
2020-02-02 15:00:00,2/2/2020 10:00:00 AM,RFC,MIDATL,PE,PE,4327.115,True
2020-02-02 16:00:00,2/2/2020 11:00:00 AM,RFC,MIDATL,PE,PE,4437.825,True
