datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
2020-02-01 05:00:00,2/1/2020 12:00:00 AM,RFC,MIDATL,PN,PN,1804.396,True
2020-02-01 06:00:00,2/1/2020 1:00:00 AM,RFC,MIDATL,PN,PN,1741.942,True
2020-02-01 07:00:00,2/1/2020 2:00:00 AM,RFC,MIDATL,PN,PN,1690.084,True
2020-02-01 08:00:00,2/1/2020 3:00:00 AM,RFC,MIDATL,PN,PN,1704.429,True
2020-02-01 09:00:00,2/1/2020 4:00:00 AM,RFC,MIDATL,PN,PN,1724.365,True
2020-02-01 10:00:00,2/1/2020 5:00:00 AM,RFC,MIDATL,PN,PN,1790.009,True
2020-02-01 11:00:00,2/1/2020 6:00:00 AM,RFC,MIDATL,PN,PN,1818.931,True
2020-02-01 12:00:00,2/1/2020 7:00:00 AM,RFC,MIDATL,PN,PN,1921.16,True
2020-02-01 13:00:00,2/1/2020 8:00:00 AM,RFC,MIDATL,PN,PN,1998.801,True
2020-02-01 14:00:00,2/1/2020 9:00:00 AM,RFC,MIDATL,PN,PN,2049.955,True
2020-02-01 15:00:00,2/1/2020 10:00:00 AM,RFC,MIDATL,PN,PN,2058.846,True
2020-02-01 16:00:00,2/1/2020 11:00:00 AM,RFC,MIDATL,PN,PN,2072.916,True
2020-02-01 17:00:00,2/1/2020 12:00:00 PM,RFC,MIDATL,PN,PN,2034.42,True
2020-02-01 18:00:00,2/1/2020 1:00:00 PM,RFC,MIDATL,PN,PN,1996.914,True
2020-02-01 19:00:00,2/1/2020 2:00:00 PM,RFC,MIDATL,PN,PN,1988.532,True
2020-02-01 20:00:00,2/1/2020 3:00:00 PM,RFC,MIDATL,PN,PN,1981.169,True
2020-02-01 21:00:00,2/1/2020 4:00:00 PM,RFC,MIDATL,PN,PN,2012.881,True
2020-02-01 22:00:00,2/1/2020 5:00:00 PM,RFC,MIDATL,PN,PN,2077.402,True
2020-02-01 23:00:00,2/1/2020 6:00:00 PM,RFC,MIDATL,PN,PN,2094.578,True
2020-02-02 00:00:00,2/1/2020 7:00:00 PM,RFC,MIDATL,PN,PN,2084.728,True
2020-02-02 01:00:00,2/1/2020 8:00:00 PM,RFC,MIDATL,PN,PN,2011.395,True
2020-02-02 02:00:00,2/1/2020 9:00:00 PM,RFC,MIDATL,PN,PN,1982.402,True
