datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
2020-02-01 05:00:00,2/1/2020 12:00:00 AM,RFC,MIDATL,PS,PS,4199.639,True
2020-02-01 06:00:00,2/1/2020 1:00:00 AM,RFC,MIDATL,PS,PS,4055.336,True
2020-02-01 07:00:00,2/1/2020 2:00:00 AM,RFC,MIDATL,PS,PS,3963.437,True
2020-02-01 08:00:00,2/1/2020 3:00:00 AM,RFC,MIDATL,PS,PS,3914.886,True
2020-02-01 09:00:00,2/1/2020 4:00:00 AM,RFC,MIDATL,PS,PS,3932.195,True
2020-02-01 10:00:00,2/1/2020 5:00:00 AM,RFC,MIDATL,PS,PS,4027.134,True
2020-02-01 11:00:00,2/1/2020 6:00:00 AM,RFC,MIDATL,PS,PS,4160.218,True
2020-02-01 12:00:00,2/1/2020 7:00:00 AM,RFC,MIDATL,PS,PS,4295.551,True
2020-02-01 13:00:00,2/1/2020 8:00:00 AM,RFC,MIDATL,PS,PS,4428.261,True
2020-02-01 14:00:00,2/1/2020 9:00:00 AM,RFC,MIDATL,PS,PS,4568.204,True
2020-02-01 15:00:00,2/1/2020 10:00:00 AM,RFC,MIDATL,PS,PS,4625.162,True
2020-02-01 16:00:00,2/1/2020 11:00:00 AM,RFC,MIDATL,PS,PS,4635.944,True
2020-02-01 17:00:00,2/1/2020 12:00:00 PM,RFC,MIDATL,PS,PS,4616.713,True
2020-02-01 18:00:00,2/1/2020 1:00:00 PM,RFC,MIDATL,PS,PS,4582.152,True
2020-02-01 19:00:00,2/1/2020 2:00:00 PM,RFC,MIDATL,PS,PS,4552.341,True
2020-02-01 20:00:00,2/1/2020 3:00:00 PM,RFC,MIDATL,PS,PS,4550.427,True
2020-02-01 21:00:00,2/1/2020 4:00:00 PM,RFC,MIDATL,PS,PS,4662.262,True
2020-02-01 22:00:00,2/1/2020 5:00:00 PM,RFC,MIDATL,PS,PS,4857.224,True
2020-02-01 23:00:00,2/1/2020 6:00:00 PM,RFC,MIDATL,PS,PS,4914.018,True
2020-02-02 00:00:00,2/1/2020 7:00:00 PM,RFC,MIDATL,PS,PS,4846.23,True
2020-02-02 01:00:00,2/1/2020 8:00:00 PM,RFC,MIDATL,PS,PS,4782.209,True
2020-02-02 02:00:00,2/1/2020 9:00:00 PM,RFC,MIDATL,PS,PS,4661.507,True
2020-02-02 03:00:00,2/1/2020 10:00:00 PM,RFC,MIDATL,PS,PS,4468.557,True
2020-02-02 04:00:00,2/1/2020 11:00:00 PM,RFC,MIDATL,PS,PS,4290.549,True
2020-02-02 05:00:00,2/2/2020 12:00:00 AM,RFC,MIDATL,PS,PS,4066.753,True
2020-02-02 06:00:00,2/2/2020 1:00:00 AM,RFC,MIDATL,PS,PS,3943.686,True
2020-02-02 07:00:00,2/2/2020 2:00:00 AM,RFC,MIDATL,PS,PS,3860.243,True
