datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
2020-02-01 05:00:00,2/1/2020 12:00:00 AM,RFC,MIDATL,RECO,RECO,126.863,False
2020-02-01 06:00:00,2/1/2020 1:00:00 AM,RFC,MIDATL,RECO,RECO,121.959,False
2020-02-01 07:00:00,2/1/2020 2:00:00 AM,RFC,MIDATL,RECO,RECO,119.153,False
2020-02-01 08:00:00,2/1/2020 3:00:00 AM,RFC,MIDATL,RECO,RECO,118.102,False
2020-02-01 09:00:00,2/1/2020 4:00:00 AM,RFC,MIDATL,RECO,RECO,118.796,False
2020-02-01 10:00:00,2/1/2020 5:00:00 AM,RFC,MIDATL,RECO,RECO,122.226,False
2020-02-01 11:00:00,2/1/2020 6:00:00 AM,RFC,MIDATL,RECO,RECO,127.992,False
2020-02-01 12:00:00,2/1/2020 7:00:00 AM,RFC,MIDATL,RECO,RECO,134.247,False
2020-02-01 13:00:00,2/1/2020 8:00:00 AM,RFC,MIDATL,RECO,RECO,141.149,False
2020-02-01 14:00:00,2/1/2020 9:00:00 AM,RFC,MIDATL,RECO,RECO,144.706,False
2020-02-01 15:00:00,2/1/2020 10:00:00 AM,RFC,MIDATL,RECO,RECO,144.268,False
2020-02-01 16:00:00,2/1/2020 11:00:00 AM,RFC,MIDATL,RECO,RECO,144.9,False
2020-02-01 17:00:00,2/1/2020 12:00:00 PM,RFC,MIDATL,RECO,RECO,144.755,False
2020-02-01 18:00:00,2/1/2020 1:00:00 PM,RFC,MIDATL,RECO,RECO,144.16,False
2020-02-01 19:00:00,2/1/2020 2:00:00 PM,RFC,MIDATL,RECO,RECO,142.637,False
2020-02-01 20:00:00,2/1/2020 3:00:00 PM,RFC,MIDATL,RECO,RECO,143.127,False
2020-02-01 21:00:00,2/1/2020 4:00:00 PM,RFC,MIDATL,RECO,RECO,147.495,False
2020-02-01 22:00:00,2/1/2020 5:00:00 PM,RFC,MIDATL,RECO,RECO,156.67,False
2020-02-01 23:00:00,2/1/2020 6:00:00 PM,RFC,MIDATL,RECO,RECO,158.081,False
2020-02-02 00:00:00,2/1/2020 7:00:00 PM,RFC,MIDATL,RECO,RECO,155.586,False
2020-02-02 01:00:00,2/1/2020 8:00:00 PM,RFC,MIDATL,RECO,RECO,152.112,False
2020-02-02 02:00:00,2/1/2020 9:00:00 PM,RFC,MIDATL,RECO,RECO,148.101,False
2020-02-02 03:00:00,2/1/2020 10:00:00 PM,RFC,MIDATL,RECO,RECO,140.997,False
2020-02-02 04:00:00,2/1/2020 11:00:00 PM,RFC,MIDATL,RECO,RECO,131.53,False
2020-02-02 05:00:00,2/2/2020 12:00:00 AM,RFC,MIDATL,RECO,RECO,123.318,False
2020-02-02 06:00:00,2/2/2020 1:00:00 AM,RFC,MIDATL,RECO,RECO,118.871,False
2020-02-02 07:00:00,2/2/2020 2:00:00 AM,RFC,MIDATL,RECO,RECO,116.222,False
2020-02-02 08:00:00,2/2/2020 3:00:00 AM,RFC,MIDATL,RECO,RECO,115.597,False
2020-02-02 09:00:00,2/2/2020 4:00:00 AM,RFC,MIDATL,RECO,RECO,115.635,False
2020-02-02 10:00:00,2/2/2020 5:00:00 AM,RFC,MIDATL,RECO,RECO,117.863,False
2020-02-02 11:00:00,2/2/2020 6:00:00 AM,RFC,MIDATL,RECO,RECO,122.366,False
2020-02-02 12:00:00,2/2/2020 7:00:00 AM,RFC,MIDATL,RECO,RECO,124.749,False
2020-02-02 13:00:00,2/2/2020 8:00:00 AM,RFC,MIDATL,RECO,RECO,126.81,False
2020-02-02 14:00:00,2/2/2020 9:00:00 AM,RFC,MIDATL,RECO,RECO,127.871,False
2020-02-02 15:00:00,2/2/2020 10:00:00 AM,RFC,MIDATL,RECO,RECO,129.548,False
2020-02-02 16:00:00,2/2/2020 11:00:00 AM,RFC,MIDATL,RECO,RECO,131.093,False
2020-02-02 17:00:00,2/2/2020 12:00:00 PM,RFC,MIDATL,RECO,RECO,135.222,False
2020-02-02 18:00:00,2/2/2020 1:00:00 PM,RFC,MIDATL,RECO,RECO,136.462,False
2020-02-02 19:00:00,2/2/2020 2:00:00 PM,RFC,MIDATL,RECO,RECO,134.853,False
2020-02-02 20:00:00,2/2/2020 3:00:00 PM,RFC,MIDATL,RECO,RECO,141.628,False
2020-02-02 21:00:00,2/2/2020 4:00:00 PM,RFC,MIDATL,RECO,RECO,150.193,False
2020-02-02 22:00:00,2/2/2020 5:00:00 PM,RFC,MIDATL,RECO,RECO,162.035,False
2020-02-02 23:00:00,2/2/2020 6:00:00 PM,RFC,MIDATL,RECO,RECO,162.659,False
2020-02-03 00:00:00,2/2/2020 7:00:00 PM,RFC,MIDATL,RECO,RECO,158.321,False
2020-02-03 01:00:00,2/2/2020 8:00:00 PM,RFC,MIDATL,RECO,RECO,154.901,False
2020-02-03 02:00:00,2/2/2020 9:00:00 PM,RFC,MIDATL,RECO,RECO,150.259,False
2020-02-03 03:00:00,2/2/2020 10:00:00 PM,RFC,MIDATL,RECO,RECO,142.886,False
2020-02-03 04:00:00,2/2/2020 11:00:00 PM,RFC,MIDATL,RECO,RECO,131.751,False
2020-02-03 05:00:00,2/3/2020 12:00:00 AM,RFC,MIDATL,RECO,RECO,123.119,False
2020-02-03 06:00:00,2/3/2020 1:00:00 AM,RFC,MIDATL,RECO,RECO,119.552,False
2020-02-03 07:00:00,2/3/2020 2:00:00 AM,RFC,MIDATL,RECO,RECO,118.647,False
2020-02-03 08:00:00,2/3/2020 3:00:00 AM,RFC,MIDATL,RECO,RECO,118.576,False
2020-02-03 09:00:00,2/3/2020 4:00:00 AM,RFC,MIDATL,RECO,RECO,121.242,False
2020-02-03 10:00:00,2/3/2020 5:00:00 AM,RFC,MIDATL,RECO,RECO,129.578,False
2020-02-03 11:00:00,2/3/2020 6:00:00 AM,RFC,MIDATL,RECO,RECO,143.194,False
2020-02-03 12:00:00,2/3/2020 7:00:00 AM,RFC,MIDATL,RECO,RECO,157.069,False
2020-02-03 13:00:00,2/3/2020 8:00:00 AM,RFC,MIDATL,RECO,RECO,158.29,False
2020-02-03 14:00:00,2/3/2020 9:00:00 AM,RFC,MIDATL,RECO,RECO,159.295,False
2020-02-03 15:00:00,2/3/2020 10:00:00 AM,RFC,MIDATL,RECO,RECO,157.366,False
2020-02-03 16:00:00,2/3/2020 11:00:00 AM,RFC,MIDATL,RECO,RECO,151.047,False
2020-02-03 17:00:00,2/3/2020 12:00:00 PM,RFC,MIDATL,RECO,RECO,147.292,False
2020-02-03 18:00:00,2/3/2020 1:00:00 PM,RFC,MIDATL,RECO,RECO,147.047,False
2020-02-03 19:00:00,2/3/2020 2:00:00 PM,RFC,MIDATL,RECO,RECO,148.16,False
2020-02-03 20:00:00,2/3/2020 3:00:00 PM,RFC,MIDATL,RECO,RECO,150.447,False
2020-02-03 21:00:00,2/3/2020 4:00:00 PM,RFC,MIDATL,RECO,RECO,154.982,False
2020-02-03 22:00:00,2/3/2020 5:00:00 PM,RFC,MIDATL,RECO,RECO,166.449,False
2020-02-03 23:00:00,2/3/2020 6:00:00 PM,RFC,MIDATL,RECO,RECO,171.002,False
