datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
2020-02-01 05:00:00,2/1/2020 12:00:00 AM,RTO,RTO,RTO,RTO,82644.54,False
2020-02-01 06:00:00,2/1/2020 1:00:00 AM,RTO,RTO,RTO,RTO,80768.123,False
2020-02-01 07:00:00,2/1/2020 2:00:00 AM,RTO,RTO,RTO,RTO,79902.114,False
2020-02-01 08:00:00,2/1/2020 3:00:00 AM,RTO,RTO,RTO,RTO,79714.489,False
2020-02-01 09:00:00,2/1/2020 4:00:00 AM,RTO,RTO,RTO,RTO,80580.349,False
2020-02-01 10:00:00,2/1/2020 5:00:00 AM,RTO,RTO,RTO,RTO,82505.36,False
2020-02-01 11:00:00,2/1/2020 6:00:00 AM,RTO,RTO,RTO,RTO,85589.056,False
2020-02-01 12:00:00,2/1/2020 7:00:00 AM,RTO,RTO,RTO,RTO,88955.597,False
2020-02-01 13:00:00,2/1/2020 8:00:00 AM,RTO,RTO,RTO,RTO,91418.804,False
2020-02-01 14:00:00,2/1/2020 9:00:00 AM,RTO,RTO,RTO,RTO,92421.701,False
2020-02-01 15:00:00,2/1/2020 10:00:00 AM,RTO,RTO,RTO,RTO,91983.921,False
2020-02-01 16:00:00,2/1/2020 11:00:00 AM,RTO,RTO,RTO,RTO,90598.688,False
2020-02-01 17:00:00,2/1/2020 12:00:00 PM,RTO,RTO,RTO,RTO,88907.308,False
2020-02-01 18:00:00,2/1/2020 1:00:00 PM,RTO,RTO,RTO,RTO,87256.384,False
2020-02-01 19:00:00,2/1/2020 2:00:00 PM,RTO,RTO,RTO,RTO,86155.34,False
2020-02-01 20:00:00,2/1/2020 3:00:00 PM,RTO,RTO,RTO,RTO,86319.229,False
2020-02-01 21:00:00,2/1/2020 4:00:00 PM,RTO,RTO,RTO,RTO,87659.771,False
2020-02-01 22:00:00,2/1/2020 5:00:00 PM,RTO,RTO,RTO,RTO,90954.445,False
2020-02-01 23:00:00,2/1/2020 6:00:00 PM,RTO,RTO,RTO,RTO,92571.757,False
2020-02-02 00:00:00,2/1/2020 7:00:00 PM,RTO,RTO,RTO,RTO,91897.449,False
2020-02-02 01:00:00,2/1/2020 8:00:00 PM,RTO,RTO,RTO,RTO,90681.186,False
2020-02-02 02:00:00,2/1/2020 9:00:00 PM,RTO,RTO,RTO,RTO,88535.988,False
2020-02-02 03:00:00,2/1/2020 10:00:00 PM,RTO,RTO,RTO,RTO,85454.372,False
2020-02-02 04:00:00,2/1/2020 11:00:00 PM,RTO,RTO,RTO,RTO,81903.404,False
2020-02-02 05:00:00,2/2/2020 12:00:00 AM,RTO,RTO,RTO,RTO,79127.389,False
2020-02-02 06:00:00,2/2/2020 1:00:00 AM,RTO,RTO,RTO,RTO,77397.456,False
2020-02-02 07:00:00,2/2/2020 2:00:00 AM,RTO,RTO,RTO,RTO,76493.731,False
2020-02-02 08:00:00,2/2/2020 3:00:00 AM,RTO,RTO,RTO,RTO,76645.061,False
2020-02-02 09:00:00,2/2/2020 4:00:00 AM,RTO,RTO,RTO,RTO,77340.401,False
2020-02-02 10:00:00,2/2/2020 5:00:00 AM,RTO,RTO,RTO,RTO,78988.176,False
2020-02-02 11:00:00,2/2/2020 6:00:00 AM,RTO,RTO,RTO,RTO,81799.584,False
2020-02-02 12:00:00,2/2/2020 7:00:00 AM,RTO,RTO,RTO,RTO,84717.002,False
2020-02-02 13:00:00,2/2/2020 8:00:00 AM,RTO,RTO,RTO,RTO,85786.414,False
2020-02-02 14:00:00,2/2/2020 9:00:00 AM,RTO,RTO,RTO,RTO,85473.812,False
2020-02-02 15:00:00,2/2/2020 10:00:00 AM,RTO,RTO,RTO,RTO,85043.568,False
2020-02-02 16:00:00,2/2/2020 11:00:00 AM,RTO,RTO,RTO,RTO,84604.486,False
2020-02-02 17:00:00,2/2/2020 12:00:00 PM,RTO,RTO,RTO,RTO,83604.193,False
2020-02-02 18:00:00,2/2/2020 1:00:00 PM,RTO,RTO,RTO,RTO,82108.691,False
2020-02-02 19:00:00,2/2/2020 2:00:00 PM,RTO,RTO,RTO,RTO,80763.138,False
2020-02-02 20:00:00,2/2/2020 3:00:00 PM,RTO,RTO,RTO,RTO,80856.067,False
2020-02-02 21:00:00,2/2/2020 4:00:00 PM,RTO,RTO,RTO,RTO,82424.188,False
2020-02-02 22:00:00,2/2/2020 5:00:00 PM,RTO,RTO,RTO,RTO,86432.314,False
2020-02-02 23:00:00,2/2/2020 6:00:00 PM,RTO,RTO,RTO,RTO,88718.853,False
2020-02-03 00:00:00,2/2/2020 7:00:00 PM,RTO,RTO,RTO,RTO,86955.99,False
2020-02-03 01:00:00,2/2/2020 8:00:00 PM,RTO,RTO,RTO,RTO,85516.194,False
2020-02-03 02:00:00,2/2/2020 9:00:00 PM,RTO,RTO,RTO,RTO,83730.139,False
2020-02-03 03:00:00,2/2/2020 10:00:00 PM,RTO,RTO,RTO,RTO,81012.426,False
2020-02-03 04:00:00,2/2/2020 11:00:00 PM,RTO,RTO,RTO,RTO,77741.628,False
2020-02-03 05:00:00,2/3/2020 12:00:00 AM,RTO,RTO,RTO,RTO,74593.455,False
2020-02-03 06:00:00,2/3/2020 1:00:00 AM,RTO,RTO,RTO,RTO,73104.328,False
2020-02-03 07:00:00,2/3/2020 2:00:00 AM,RTO,RTO,RTO,RTO,72833.786,False
2020-02-03 08:00:00,2/3/2020 3:00:00 AM,RTO,RTO,RTO,RTO,73535.546,False
2020-02-03 09:00:00,2/3/2020 4:00:00 AM,RTO,RTO,RTO,RTO,75965.64,False
2020-02-03 10:00:00,2/3/2020 5:00:00 AM,RTO,RTO,RTO,RTO,81467.036,False
2020-02-03 11:00:00,2/3/2020 6:00:00 AM,RTO,RTO,RTO,RTO,90022.214,False
2020-02-03 12:00:00,2/3/2020 7:00:00 AM,RTO,RTO,RTO,RTO,95076.289,False
2020-02-03 13:00:00,2/3/2020 8:00:00 AM,RTO,RTO,RTO,RTO,94216.074,False
2020-02-03 14:00:00,2/3/2020 9:00:00 AM,RTO,RTO,RTO,RTO,91222.365,False
2020-02-03 15:00:00,2/3/2020 10:00:00 AM,RTO,RTO,RTO,RTO,88582.898,False
2020-02-03 16:00:00,2/3/2020 11:00:00 AM,RTO,RTO,RTO,RTO,86227.077,False
2020-02-03 17:00:00,2/3/2020 12:00:00 PM,RTO,RTO,RTO,RTO,84525.86,False
2020-02-03 18:00:00,2/3/2020 1:00:00 PM,RTO,RTO,RTO,RTO,83627.759,False
2020-02-03 19:00:00,2/3/2020 2:00:00 PM,RTO,RTO,RTO,RTO,82828.165,False
2020-02-03 20:00:00,2/3/2020 3:00:00 PM,RTO,RTO,RTO,RTO,82541.167,False
2020-02-03 21:00:00,2/3/2020 4:00:00 PM,RTO,RTO,RTO,RTO,83852.682,False
2020-02-03 22:00:00,2/3/2020 5:00:00 PM,RTO,RTO,RTO,RTO,87712.863,False
2020-02-03 23:00:00,2/3/2020 6:00:00 PM,RTO,RTO,RTO,RTO,91277.042,False
2020-02-04 00:00:00,2/3/2020 7:00:00 PM,RTO,RTO,RTO,RTO,90942.831,False
2020-02-04 01:00:00,2/3/2020 8:00:00 PM,RTO,RTO,RTO,RTO,89130.976,False
2020-02-04 02:00:00,2/3/2020 9:00:00 PM,RTO,RTO,RTO,RTO,85632.198,False
2020-02-04 03:00:00,2/3/2020 10:00:00 PM,RTO,RTO,RTO,RTO,80774.146,False
2020-02-04 04:00:00,2/3/2020 11:00:00 PM,RTO,RTO,RTO,RTO,76146.088,False
2020-02-04 05:00:00,2/4/2020 12:00:00 AM,RTO,RTO,RTO,RTO,72756.198,False
2020-02-04 06:00:00,2/4/2020 1:00:00 AM,RTO,RTO,RTO,RTO,70945.938,False
2020-02-04 07:00:00,2/4/2020 2:00:00 AM,RTO,RTO,RTO,RTO,69782.222,False
2020-02-04 08:00:00,2/4/2020 3:00:00 AM,RTO,RTO,RTO,RTO,69704.8,False
2020-02-04 09:00:00,2/4/2020 4:00:00 AM,RTO,RTO,RTO,RTO,71249.756,False
2020-02-04 10:00:00,2/4/2020 5:00:00 AM,RTO,RTO,RTO,RTO,75874.877,False
2020-02-04 11:00:00,2/4/2020 6:00:00 AM,RTO,RTO,RTO,RTO,83717.432,False
2020-02-04 12:00:00,2/4/2020 7:00:00 AM,RTO,RTO,RTO,RTO,88722.582,False
2020-02-04 13:00:00,2/4/2020 8:00:00 AM,RTO,RTO,RTO,RTO,89172.768,False
2020-02-04 14:00:00,2/4/2020 9:00:00 AM,RTO,RTO,RTO,RTO,89325.018,False
2020-02-04 15:00:00,2/4/2020 10:00:00 AM,RTO,RTO,RTO,RTO,89103.796,False
2020-02-04 16:00:00,2/4/2020 11:00:00 AM,RTO,RTO,RTO,RTO,88483.191,False
2020-02-04 17:00:00,2/4/2020 12:00:00 PM,RTO,RTO,RTO,RTO,87797.635,False
2020-02-04 18:00:00,2/4/2020 1:00:00 PM,RTO,RTO,RTO,RTO,87076.326,False
2020-02-04 19:00:00,2/4/2020 2:00:00 PM,RTO,RTO,RTO,RTO,86404.135,False
2020-02-04 20:00:00,2/4/2020 3:00:00 PM,RTO,RTO,RTO,RTO,86501.273,False
2020-02-04 21:00:00,2/4/2020 4:00:00 PM,RTO,RTO,RTO,RTO,87999.974,False
2020-02-04 22:00:00,2/4/2020 5:00:00 PM,RTO,RTO,RTO,RTO,91601.307,False
2020-02-04 23:00:00,2/4/2020 6:00:00 PM,RTO,RTO,RTO,RTO,93781.011,False
2020-02-05 00:00:00,2/4/2020 7:00:00 PM,RTO,RTO,RTO,RTO,92946.6,False
2020-02-05 01:00:00,2/4/2020 8:00:00 PM,RTO,RTO,RTO,RTO,90978.932,False
2020-02-05 02:00:00,2/4/2020 9:00:00 PM,RTO,RTO,RTO,RTO,87269.944,False
2020-02-05 03:00:00,2/4/2020 10:00:00 PM,RTO,RTO,RTO,RTO,82600.982,False
2020-02-05 04:00:00,2/4/2020 11:00:00 PM,RTO,RTO,RTO,RTO,78301.899,False
2020-02-05 05:00:00,2/5/2020 12:00:00 AM,RTO,RTO,RTO,RTO,74761.906,False
2020-02-05 06:00:00,2/5/2020 1:00:00 AM,RTO,RTO,RTO,RTO,72953.478,False
2020-02-05 07:00:00,2/5/2020 2:00:00 AM,RTO,RTO,RTO,RTO,72316.093,False
2020-02-05 08:00:00,2/5/2020 3:00:00 AM,RTO,RTO,RTO,RTO,72658.345,False
2020-02-05 09:00:00,2/5/2020 4:00:00 AM,RTO,RTO,RTO,RTO,74804.585,False
2020-02-05 10:00:00,2/5/2020 5:00:00 AM,RTO,RTO,RTO,RTO,79902.66,False
2020-02-05 11:00:00,2/5/2020 6:00:00 AM,RTO,RTO,RTO,RTO,88083.071,False
