Cluster,Model,RMSE,MAE
Commercial,XGBoost,790.2745949204702,525.8580848596321
Commercial,Random Forest,871.5311075390093,597.5066661678705
Commercial,GRU,1063.1085143089954,820.6216866546009
Commercial,LSTM,1406.174447549949,1093.5154495707516
Commercial,BiLSTM,1438.5400091751694,1109.1944819132218
Commercial,Prophet,7821.3143749591,5922.348923409467
Commercial,Transformer,11531.400347155213,8707.800855597494
Commercial,ARIMA,12592.376817123233,9412.611011270217
Industrial,XGBoost,1218.9775212496684,812.1524821984646
Industrial,Random Forest,1359.3627157342917,924.4953860055141
Industrial,GRU,1965.269327063183,1552.1866063029863
Industrial,LSTM,2227.6484750205263,1709.5281228061299
Industrial,BiLSTM,2618.198499676861,2026.9581182457373
Industrial,Prophet,12415.287469710036,9424.144514103806
Industrial,Transformer,18035.59320481663,13685.734522766243
Industrial,ARIMA,19664.54484322296,14788.275893564301
Residential,XGBoost,447.17168486243963,304.2045516321789
Residential,Random Forest,496.9751615366717,345.9980384368164
Residential,GRU,679.4352932042887,507.86306534131506
Residential,LSTM,796.9047394698831,627.9770722161364
Residential,BiLSTM,878.0553842892665,685.3401829797938
Residential,Prophet,4674.857892805251,3574.4430970795365
Residential,Transformer,6555.344504000265,5018.369020265764
Residential,ARIMA,6989.587970739413,5312.835990761799
